"odontologia" -- "materiais dentários"
"ibd" -- "mucosal immunology"
"building automation" -- "smart grid"
"adipose tissue" -- "obesity"
"separation science" -- "analytical chemistry"
"molecular cell biology" -- "biochemistry"
"energy consumption" -- "energy policy"
"parallel" -- "distributed simulation"
"parallel" -- "distributed processing"
"parallel" -- "distributed computing"
"sexually transmitted infections" -- "hiv"
"taxation" -- "accounting"
"frame theory" -- "functional analysis"
"innovation studies" -- "economic geography"
"celebrity" -- "cultural studies"
"neutron diffraction" -- "x-ray"
"economic geography" -- "innovation"
"economic geography" -- "regional development"
"economic geography" -- "regional economic development"
"economic geography" -- "regional science"
"economic geography" -- "global production networks"
"economic geography" -- "evolutionary economic geography"
"economic geography" -- "local development"
"economic geography" -- "cultural industries"
"cooperative breeding" -- "behavioural ecology"
"in vivo imaging" -- "ensemble learning"
"time use" -- "gender"
"biomembranes" -- "biophysics"
"piezoelectric" -- "energy harvesting"
"piezoelectric" -- "ferroelectrics"
"piezoelectric" -- "electroceramics"
"public transit" -- "transportation"
"solar" -- "renewable energy"
"energetic materials" -- "combustion"
"taxonomy" -- "systematics"
"taxonomy" -- "coleoptera"
"taxonomy" -- "systematic botany"
"taxonomy" -- "molecular phylogeny"
"taxonomy" -- "meiofauna"
"taxonomy" -- "malacology"
"endometriosis" -- "infertility"
"sustainable urban development" -- "urban planning"
"parliaments" -- "political parties"
"construction engineering" -- "management"
"construction engineering" -- "project"
"china studies" -- "cultural studies"
"environmental assessment" -- "sustainability"
"geologia" -- "paleontologia"
"geologia" -- "scienze della terra"
"geologia" -- "geochimica"
"geologia" -- "geociências"
"geologia" -- "cosmologia"
"geologia" -- "gis"
"geologia" -- "geomorfologia"
"geologia" -- "geoquímica"
"fault-tolerant computing" -- "computer arithmetic"
"thermophotovoltaics" -- "photovoltaics"
"simulation modeling" -- "operations research"
"bio-inspired design" -- "robotics"
"structural fire engineering" -- "structural engineering"
"computational condensed matter physics" -- "density functional theory"
"liquid crystals" -- "soft matter"
"bridges" -- "concrete"
"computational biochemistry" -- "biophysics"
"uveitis" -- "ophthalmology"
"derecho administrativo" -- "urbanismo"
"processing" -- "modeling"
"processing" -- "friction stir welding"
"analysis of algorithms" -- "design"
"applied optics" -- "image processing"
"transplantation" -- "immunology"
"transplantation" -- "nephrology"
"transplantation" -- "renal"
"transplantation" -- "hepatobiliary surgery"
"medical decision making" -- "patient education"
"medical decision making" -- "operations research"
"derecho civil" -- "private law"
"derecho civil" -- "derecho procesal"
"squid" -- "observational cosmology"
"chronic disease management" -- "obesity"
"analog" -- "adc"
"analog" -- "digital circuit design"
"analog" -- "clock"
"analog" -- "rf"
"analog" -- "data converters"
"analog" -- "rf ic design"
"analog" -- "rf circuit design"
"analog" -- "mixed-signal circuit design"
"analog" -- "mixed-signal integrated circuits"
"analog" -- "mixed signal design"
"analog" -- "mixed-signal ic design"
"analog" -- "cmos image sensor"
"analog" -- "mixed-signal"
"time" -- "memory"
"time" -- "temporality"
"spatial cognition" -- "spatial memory"
"spatial cognition" -- "navigation"
"animal breeding" -- "genetics"
"animal breeding" -- "genomic selection"
"social media analytics" -- "data mining"
"fairness" -- "cooperation"
"international relations theory" -- "international security"
"strongly correlated electron systems" -- "experimental condensed matter physics"
"strongly correlated electron systems" -- "superconductivity"
"health promotion" -- "public health"
"contabilidad" -- "meio ambiente"
"contabilidad" -- "administração"
"transmission electron microscopy" -- "materials science"
"antibodies" -- "immunology"
"photonic devices" -- "optical communications"
"economic psychology" -- "behavioral economics"
"egyptology" -- "archaeology"
"intergroup contact" -- "intergroup relations"
"healthcare systems engineering" -- "quality engineering"
"history of childhood" -- "youth"
"work design" -- "organizational behavior"
"evaporation" -- "condensation"
"transport properties" -- "materials science"
"peers" -- "delinquency"
"particle technology" -- "chemical engineering"
"particle technology" -- "granulation"
"coral reef ecology" -- "conservation biology"
"coral reef ecology" -- "coral biology"
"visual anthropology" -- "anthropology"
"visual anthropology" -- "urban anthropology"
"reproductive epidemiology" -- "epidemiology"
"palaeolimnology" -- "palaeoecology"
"aerospace" -- "control"
"aerospace" -- "aeronautics"
"digital microfluidics" -- "lab-on-a-chip"
"bioenergetics" -- "mitochondria"
"international macroeconomics" -- "macroeconomics"
"sleep apnea" -- "sleep"
"human-machine interfaces" -- "robotics"
"bioinorganic" -- "inorganic chemistry"
"vegetation ecology" -- "biodiversity"
"sea level" -- "climate change"
"cardiovascular sciences" -- "molecular biology"
"separation processes" -- "wastewater treatment"
"vaccinology" -- "immunology"
"weed management" -- "agronomy"
"sperm competition" -- "sexual selection"
"documentación" -- "information science"
"fret" -- "biophysics"
"dna damage" -- "mutagenesis"
"dna damage" -- "repair"
"dna damage" -- "dna repair"
"literature" -- "travel writing"
"literature" -- "german"
"literature" -- "the novel"
"literature" -- "literary theory"
"literature" -- "science fiction"
"literature" -- "creative writing"
"literature" -- "bible"
"literature" -- "philosophy"
"literature" -- "narratology"
"survey sampling" -- "nonparametric regression"
"survey sampling" -- "statistics"
"aneuploidy" -- "cancer"
"responsibility" -- "representation"
"deposition" -- "particle dispersion"
"deposition" -- "energy"
"health services" -- "public health"
"functional neurosurgery" -- "neurosurgery"
"microfinance" -- "development economics"
"hyperspectral image analysis" -- "image processing"
"light alloys" -- "materials science"
"biomateriales" -- "ingeniería de tejidos"
"insect behavior" -- "chemical ecology"
"bioinspired materials" -- "biomaterials"
"risk factors" -- "epidemiology"
"sociocultural theory" -- "digital literacy"
"fear conditioning" -- "memory"
"expatriation" -- "international human resource management"
"logistics" -- "intermodal transport"
"logistics" -- "applied operations research"
"logistics" -- "partnerships"
"logistics" -- "transportation systems"
