"odontologia" -- "materiais dentários"
"structural biology" -- "ribosome"
"structural biology" -- "protein-ligand interactions"
"structural biology" -- "biomolecular nmr"
"structural biology" -- "x-ray crystallography"
"structural biology" -- "metalloproteins"
"structural biology" -- "macromolecular crystallography"
"structural biology" -- "protein design"
"structural biology" -- "protein nmr"
"sponsorship" -- "consumer behavior"
"fotosintesi" -- "microbiologia"
"auditory display" -- "human factors"
"reliability" -- "maintenance"
"reliability" -- "electronic packaging"
"sme" -- "entrepreneurship"
"algebra" -- "ring theory"
"algebra" -- "combinatorics"
"algebra" -- "geometry"
"instructional communication" -- "interpersonal communication"
"cancer genetics" -- "bioinformatics"
"endocrinology" -- "reproductive physiology"
"endocrinology" -- "thyroid"
"endocrinology" -- "endocrine disruption"
"endocrinology" -- "reproduction"
"endocrinology" -- "reproductive toxicology"
"endocrinology" -- "diabetes mellitus"
"learning technologies" -- "learning analytics"
"gender development" -- "developmental psychology"
"social inequalities in health" -- "social determinants of health"
"freshwater biology" -- "ecology"
"geobiology" -- "geochemistry"
"impact assessment" -- "sustainable development"
"citizenship education" -- "human rights"
"denitrification" -- "biogeochemistry"
"water resources systems" -- "hydroinformatics"
"philology" -- "linguistics"
"analog ic" -- "rfic"
"professional learning" -- "teacher education"
"professional learning" -- "action research"
"sport management" -- "sports history"
"sport management" -- "sport marketing"
"sport management" -- "sport for development"
"sport management" -- "sport policy"
"sport management" -- "sports law"
"synthetic aperture radar" -- "microwave remote sensing"
"synthetic aperture radar" -- "remote sensing"
"occupational health" -- "safety"
"media economics" -- "media management"
"mathématiques" -- "analyse"
"book history" -- "print culture"
"nanowires" -- "mosfet"
"nanowires" -- "nanotechnology"
"mobile web" -- "university libraries"
"urban form" -- "urban planning"
"ecology" -- "ecosystem services"
"ecology" -- "mycorrhiza"
"ecology" -- "global change"
"ecology" -- "population biology"
"ecology" -- "extinction"
"ecology" -- "tropical forests"
"ecology" -- "salt marsh"
"ecology" -- "life history"
"ecology" -- "wildlife"
"ecology" -- "forest science"
"ecology" -- "birds"
"ecology" -- "social insects"
"ecology" -- "marine"
"ecology" -- "behaviour"
"ecology" -- "predator-prey interactions"
"ecology" -- "wildlife conservation"
"ecology" -- "tropics"
"ecology" -- "fisheries"
"ecology" -- "biological conservation"
"ecology" -- "nature conservation"
"ecology" -- "ecophysiology"
"ecology" -- "marine biology"
"ecology" -- "plant-soil interactions"
"ecology" -- "mangroves"
"ecology" -- "conservation science"
"ecology" -- "mutualism"
"ecology" -- "biogeography"
"ecology" -- "population dynamics"
"ecology" -- "biomonitoring"
"ecology" -- "invasion biology"
"ecology" -- "seed dispersal"
"ecology" -- "zoology"
"ecology" -- "bats"
"ecology" -- "species distributions"
"ecology" -- "evolutionary biology"
"ecology" -- "disturbance"
"ecology" -- "botany"
"ecology" -- "bryology"
"ecology" -- "ethology"
"ecology" -- "cephalopods"
"ecology" -- "ecotoxicology"
"ecology" -- "climate change"
"ecology" -- "eco-evolutionary dynamics"
"ecology" -- "invasive species"
"ecology" -- "entomology"
"ecology" -- "ecological stoichiometry"
"ecology" -- "herbivory"
"ecology" -- "food webs"
"ecology" -- "agroecology"
"ecology" -- "biodiversity"
"ecology" -- "biodiversity science"
"ecology" -- "plant"
"ecology" -- "fish"
"ecology" -- "phycology"
"ecology" -- "ants"
"ecology" -- "animal movement"
"ecology" -- "natural resource management"
"ecology" -- "evolution"
"ecology" -- "applied entomology"
"ecology" -- "climate change biology"
"ecology" -- "tropical biology"
"ecology" -- "medical entomology"
"human behavioral ecology" -- "hunter-gatherers"
"suicide" -- "self-harm"
"suicide" -- "self-injury"
"suicide" -- "depression"
"structural biochemistry" -- "nmr"
"optical coherence tomography" -- "optical imaging"
"optical coherence tomography" -- "multimodal imaging"
"optical coherence tomography" -- "freeform optics"
"optical coherence tomography" -- "biomedical optics"
"mantle dynamics" -- "seismology"
"femtosecond spectroscopy" -- "ultrafast optics"
"power engineering" -- "electrical engineering"
"mesenchymal stem cells" -- "tissue engineering"
"reptiles" -- "amphibians"
"clumped isotopes" -- "geochemistry"
"food insecurity" -- "nutrition"
"biofouling" -- "biofilms"
"plant-pollinator interactions" -- "evo-devo"
"neurodegenerative disorders" -- "alzheimer s disease"
"holocaust" -- "genocide"
"financial" -- "political economy"
"water splitting" -- "artificial photosynthesis"
"intelligent user interfaces" -- "human-computer interaction"
"environmental governance" -- "water policy"
"environmental governance" -- "political ecology"
"environmental governance" -- "transaction costs"
"software product lines" -- "software engineering"
"hla" -- "population genetics"
"fundamental symmetries" -- "particle physics"
"topological dynamics" -- "ergodic theory"
"biomechanics" -- "biotribology"
"biomechanics" -- "cardiovascular engineering"
"biomechanics" -- "injury"
"biomechanics" -- "motion analysis"
"biomechanics" -- "insect flight"
"biomechanics" -- "sports medicine"
"biomechanics" -- "animal locomotion"
"biomechanics" -- "soft tissue mechanics"
"biomechanics" -- "orthopedics"
"biomechanics" -- "muscle mechanics"
"biomechanics" -- "gait"
"biomechanics" -- "mechanobiology"
"biomechanics" -- "locomotion"
"biomechanics" -- "anatomy"
"biomechanics" -- "running"
"biomechanics" -- "osteoarthritis"
"biomechanics" -- "gait analysis"
"biomechanics" -- "animal flight"
"biomechanics" -- "balance"
"biomechanics" -- "rehabilitation engineering"
"biomechanics" -- "muscle physiology"
"biomechanics" -- "flight"
"biomechanics" -- "neural control of movement"
"biomechanics" -- "kinesiology"
"biomechanics" -- "injury prevention"
"biomechanics" -- "golf"
"biomechanics" -- "musculoskeletal modeling"
"biomechanics" -- "neuromechanics"
"biomechanics" -- "ergonomics"
"biomechanics" -- "knee"
"biomechanics" -- "tendon"
"biomechanics" -- "finite element modeling"
"biomechanics" -- "low back pain"
"biomechanics" -- "foot"
"biomechanics" -- "sports injury"
"biomechanics" -- "biological materials"
"biomechanics" -- "scaling"
"biomechanics" -- "electromyography"
"biomechanics" -- "orthopaedics"
"biomechanics" -- "motion capture"
"biomechanics" -- "ecomorphology"
"biomechanics" -- "bone biomechanics"
"biomechanics" -- "functional morphology"
"biomechanics" -- "fracture healing"
"biomechanics" -- "rehabilitation"
"biomechanics" -- "finite element analysis"
"machine drives" -- "power electronics"
"radar imaging" -- "compressed sensing"
"android security" -- "cloud computing security"
"environmental geography" -- "sustainability science"
"derecho del trabajo" -- "seguridad social"
"counseling" -- "gender issues"
"grapevine" -- "plant ecophysiology"
"stem cell biology" -- "developmental biology"
"public policy" -- "policy analysis"
"public policy" -- "political science"
"public policy" -- "eu politics"
"public policy" -- "public administration"
"public policy" -- "administration"
"vascular medicine" -- "internal medicine"
"teams" -- "leadership"
"gait analysis" -- "biomechanical engineering"
"photonic integration" -- "semiconductor lasers"
"interfaces" -- "grain boundaries"
"interfaces" -- "surface"
"replication" -- "genetics"
"ichnology" -- "sedimentology"
"political geography" -- "border studies"
"political geography" -- "geopolitics"
"political geography" -- "ireland"
"multilinear algebra" -- "tensors"
"attitudes" -- "psicología social"
"attitudes" -- "social psychology"
"medical informatics" -- "clinical decision support"
"computational economics" -- "macroeconomics"
"finite volume method" -- "finite element method"
"nanoclusters" -- "nanomaterials"
"placenta" -- "pregnancy"
"civil procedure" -- "administrative law"
"link prediction" -- "recommender systems"
"stream processing" -- "distributed systems"
"medical geography" -- "spatial epidemiology"
"ecologie" -- "evolution"
"cognitive disorders" -- "neuropsychology"
"prevention" -- "etiology"
"atmospheric electricity" -- "lightning"
"rural history" -- "economic history"
"constructionism" -- "learning sciences"
"reward" -- "addiction"
"object recognition" -- "computer vision"
"law society" -- "criminology"
"dental biomaterials" -- "tissue engineering"
"building information modeling" -- "automation in construction"
"innovation strategy" -- "technology"
"biologie moléculaire" -- "microbiologie"
"glacier hydrology" -- "glaciology"
"game development" -- "game design"
"child abuse" -- "family violence"
"welfare economics" -- "game theory"
"nuclear" -- "particle physics"
"power conversion" -- "power electronics"
"peacekeeping" -- "civil war"
"place branding" -- "branding"
"soot" -- "combustion"
"tobacco use" -- "adolescent health"
"epigenetics" -- "molecular toxicology"
"epigenetics" -- "transcription"
"epigenetics" -- "non-coding rna"
"epigenetics" -- "methylation"
"epigenetics" -- "rna silencing"
"epigenetics" -- "germ cells"
"epigenetics" -- "leukaemia"
"epigenetics" -- "histone modifications"
"epigenetics" -- "lncrna"
"epigenetics" -- "lncrnas"
"epigenetics" -- "small rnas"
"epigenetics" -- "genetics"
"epigenetics" -- "developmental genetics"
"epigenetics" -- "chromatin biology"
"epigenetics" -- "genomic imprinting"
"epigenetics" -- "gene-environment interaction"
"epigenetics" -- "chromatin"
"leadership" -- "abusive supervision"
"leadership" -- "change management"
"leadership" -- "influence"
"leadership" -- "industrial-organizational psychology"
"leadership" -- "cross-cultural management"
"leadership" -- "organizational justice"
"leadership" -- "organization development"
"leadership" -- "leadership development"
"leadership" -- "empowerment"
"leadership" -- "organizational culture"
"leadership" -- "group dynamics"
"leadership" -- "psychological contracts"
"leadership" -- "organizational change"
"mechanical circulatory support" -- "heart failure"
"travel demand modeling" -- "transportation planning"
"library" -- "archives"
"library" -- "information science"
"library" -- "librarians"
"library" -- "government information"
"library" -- "research data management"
"library" -- "reference"
"library" -- "information literacy"
"magnetization dynamics" -- "spintronics"
"lattice qcd" -- "particle physics"
"virology" -- "immunology"
"virology" -- "retroviruses"
"virology" -- "viral evolution"
"virology" -- "virus evolution"
"virology" -- "translational control"
"virology" -- "influenza"
"virology" -- "innate immunology"
"virology" -- "influenza virus"
"virology" -- "stbsrc"
"virology" -- "virus-host interactions"
"animal health" -- "animal welfare"
"nk cells" -- "immunology"
"developmental coordination disorder" -- "motor development"
"functional foods" -- "nutraceuticals"
"functional foods" -- "nutrition"
"metal foams" -- "materials science"
"executive control" -- "attention"
"geohazards" -- "landslides"
"geohazards" -- "submarine landslides"
"agricultural education" -- "teacher education"
"agricultural education" -- "experiential learning"
"selective attention" -- "meg"
"statistica" -- "econometria"
"motivated behavior" -- "memory"
"feminism" -- "homosexuality"
"feminism" -- "gender"
"demography" -- "transition to adulthood"
"demography" -- "fertility"
"demography" -- "social statistics"
"demography" -- "population studies"
"demography" -- "family sociology"
"demography" -- "mortality"
"atmospheric science" -- "climate science"
"atmospheric science" -- "cloud microphysics"
"atmospheric science" -- "micrometeorology"
"phase equilibrium" -- "thermodynamics"
"soil biology" -- "microbial ecology"
"transitional justice" -- "reconciliation"
"transitional justice" -- "human rights"
"implant dentistry" -- "periodontology"
"palynology" -- "palaeoecology"
"palynology" -- "vegetation history"
"food security" -- "climate change"
"food security" -- "sustainable food systems"
"molecular parasitology" -- "malaria"
"boundary layer meteorology" -- "micrometeorology"
"urban geography" -- "feminist geography"
"urban geography" -- "gis"
"urban geography" -- "urban political economy"
"cfd simulation" -- "heat"
"physical organic chemistry" -- "computational chemistry"
"production scheduling" -- "operations research"
"e-commerce" -- "internet marketing"
"e-commerce" -- "social commerce"
"cognitive aging" -- "memory"
"lean six sigma" -- "analytics"
"skull base" -- "brain tumors"
"ehr" -- "biomedical informatics"
"interaction design" -- "digital storytelling"
"interaction design" -- "media technology"
"interaction design" -- "participatory design"
"interaction design" -- "human-computer interaction"
"interaction design" -- "industrial design"
"interaction design" -- "design research"
"military families" -- "family"
"vegetation science" -- "plant ecology"
"victimology" -- "criminology"
"reference services" -- "information literacy"
"sensory ecology" -- "behavioural ecology"
"human factors" -- "hmi"
"human factors" -- "ergonomics"
"human factors" -- "driver distraction"
"human factors" -- "system safety"
"human factors" -- "aviation"
"thermal analysis" -- "composites"
"embryology" -- "developmental biology"
"optimizasyon" -- "yapay zeka"
"optimizasyon" -- "networks"
"service delivery" -- "impact"
"vocalization" -- "behavioral biology"
"water quality modeling" -- "hydrology"
"humor" -- "personality"
"reverse engineering" -- "software engineering"
"preferences" -- "databases"
"asphalt" -- "pavement"
"asphalt" -- "bitumen"
"visual neuroscience" -- "computational neuroscience"
"functional diversity" -- "biodiversity"
"tecnología educativa" -- "innovación educativa"
"tecnología educativa" -- "tic"
"multitasking" -- "human-computer interaction"
"cognitive development" -- "language development"
"cognitive development" -- "developmental psychology"
"cognitive development" -- "executive function"
"cognitive development" -- "developmental cognitive neuroscience"
"solid modeling" -- "cad"
"radio astronomy" -- "astrophysics"
"radio astronomy" -- "magnetic field"
"basic" -- "ophthalmic epidemiology"
"soft robotics" -- "smart materials"
"soft robotics" -- "dielectric elastomers"
"soft robotics" -- "advanced manufacturing"
"deception" -- "deception detection"
"tissue engineering" -- "wound healing"
"tissue engineering" -- "biomicrofluidics"
"tissue engineering" -- "cartilage"
"tissue engineering" -- "articular cartilage"
"tissue engineering" -- "3d printing"
"tissue engineering" -- "stem cell research"
"tissue engineering" -- "plastic surgery"
"tissue engineering" -- "stem cells"
"tissue engineering" -- "bone remodeling"
"tissue engineering" -- "intervertebral disc"
"tissue engineering" -- "stem cell differentiation"
"tissue engineering" -- "regenerative"
"tissue engineering" -- "stem cell engineering"
"tissue engineering" -- "biomaterials"
"tissue engineering" -- "cell therapy"
"tissue engineering" -- "stem cell therapy"
"tissue engineering" -- "adult stem cells"
"tissue engineering" -- "bone regeneration"
"tissue engineering" -- "3d bioprinting"
"tissue engineering" -- "vascular"
"tissue engineering" -- "nanotoxicity"
"tissue engineering" -- "artificial organs"
"tissue engineering" -- "electrospinning"
"financial stability" -- "banking"
"o psychology" -- "career development"
"technology in education" -- "teacher education"
"biochemical engineering" -- "bioseparation"
"biochemical engineering" -- "biotechnology"
"mechanical metallurgy" -- "materials science"
"soldering" -- "laser welding"
"soldering" -- "intermetallics"
"ceramics" -- "sofc"
"ceramics" -- "materials science"
"ceramics" -- "sintering"
"space physics" -- "magnetospheric physics"
"space physics" -- "solar physics"
"space physics" -- "ionosphere"
"space physics" -- "dusty plasmas"
"space physics" -- "plasma physics"
"space physics" -- "aeronomy"
"rangeland ecology" -- "fire ecology"
"inorganic" -- "organometallic chemistry"
"resource management" -- "cloud computing"
"renal physiology" -- "nephrology"
"context awareness" -- "ubiquitous computing"
"sers" -- "raman"
"process safety" -- "risk analysis"
"evo-devo" -- "developmental biology"
"meg" -- "neural dynamics"
"computational linguistics" -- "natural language processing"
"dna repair" -- "dna replication"
"dna repair" -- "genomic instability"
"dna repair" -- "meiosis"
"dna repair" -- "chemoresistance"
"seguridad social" -- "pensions"
"x-ray physics" -- "materials science"
"conceptual modeling" -- "ontologies"
"radiation detectors" -- "radiation physics"
"plasma technology" -- "biomaterials"
"economic inequality" -- "labour economics"
"surgical oncology" -- "general surgery"
"surgical oncology" -- "surgery"
"commercialization" -- "innovation"
"knowledge-based systems" -- "artificial intelligence"
"choice modelling" -- "behavioral psychology"
"gene expression regulation" -- "stem cells"
"auditory cortex" -- "auditory neuroscience"
"neck pain" -- "low back pain"
"cns" -- "medicinal chemistry"
"aged care" -- "dementia"
"neuroscience" -- "molecular cellular biology"
"neuroscience" -- "clinical neurology"
"neuroscience" -- "optogenetics"
"neuroscience" -- "neuropsychopharmacology"
"neuroscience" -- "neurotoxicology"
"neuroscience" -- "psychology"
"neuroscience" -- "spinal cord injury"
"neuroscience" -- "synaptic physiology"
"neuroscience" -- "sensorimotor control"
"neuroscience" -- "connectomics"
"neuroscience" -- "addiction"
"neuroscience" -- "vision"
"neuroscience" -- "neurophysiology"
"neuroscience" -- "parkinson s disease"
"neuroscience" -- "synapses"
"neuroscience" -- "non-invasive brain stimulation"
"neuroscience" -- "psychiatry"
"neuroscience" -- "gaba"
"neuroscience" -- "functional imaging"
"neuroscience" -- "neuroprotection"
"neuroscience" -- "pain"
"neuroscience" -- "cerebellum"
"neuroscience" -- "neuropathic pain"
"neuroscience" -- "neurobiology"
"neuroscience" -- "alzheimer s disease"
"neuroscience" -- "neural stem cells"
"neuroscience" -- "neurodegenerative diseases"
"neuroscience" -- "spinal cord"
"neuroscience" -- "neuropeptides"
"neuroscience" -- "neurogenesis"
"neuroscience" -- "ophthalmology"
"neuroscience" -- "psychiatric disorders"
"neuroscience" -- "circadian biology"
"neuroscience" -- "zinc"
"neuroscience" -- "neuroinflammation"
"neuroscience" -- "biomedical engineering"
"neuroscience" -- "sensory"
"neuroscience" -- "auditory system"
"neuroscience" -- "sleep"
"neuroscience" -- "astrocytes"
"neuroscience" -- "neuroengineering"
"neuroscience" -- "physiology"
"neuroscience" -- "psychopharmacology"
"neuroscience" -- "ion channels"
"neuroscience" -- "brain imaging"
"neuroscience" -- "neurosurgery"
"neuroscience" -- "neurodegeneration"
"neuroscience" -- "neurostimulation"
"neuroscience" -- "pharmacology"
"neuroscience" -- "bioelectronics"
"neuroscience" -- "hearing"
"neuroscience" -- "neuropharmacology"
"neuroscience" -- "synaptic plasticity"
"neuroscience" -- "neuropsychiatric disorders"
"neuroscience" -- "auditory"
"neuroscience" -- "neurotoxicity"
"neuroscience" -- "synaptic transmission"
"neuroscience" -- "neuroendocrinology"
"neuroscience" -- "olfaction"
"neuroscience" -- "stress"
"neuroscience" -- "neurodevelopmental disorders"
"neuroscience" -- "pain research"
"neuroscience" -- "neurotrauma"
"neuroscience" -- "alzheimer s"
"neuroscience" -- "cognition"
"neuroscience" -- "dopamine"
"neuroscience" -- "neurogenetics"
"neuroscience" -- "anesthesiology"
"neuroscience" -- "fmri"
"neuroscience" -- "epilepsy"
"neuroscience" -- "neurodevelopment"
"fire" -- "combustion"
"lingüística de corpus" -- "lingüística aplicada"
"rna" -- "bioinformatics"
"rna" -- "post-transcriptional gene regulation"
"rna" -- "protein synthesis"
"preschool education" -- "early childhood education"
"marine mammals" -- "smru"
"diagnostics" -- "prognostics"
"diagnostics" -- "microfluidics"
"bubble dynamics" -- "cavitation"
"chinese politics" -- "comparative politics"
"cardiovascular surgery" -- "bariatric"
"developmental psychopathology" -- "resilience"
"cultural transmission" -- "social learning"
"obesity" -- "brown adipose tissue"
"obesity" -- "diabetes prevention"
"obesity" -- "eating"
"obesity" -- "adult"
"obesity" -- "immunometabolism"
"obesity" -- "puberty"
"obesity" -- "energy balance"
"obesity" -- "energy metabolism"
"obesity" -- "weight management"
"obesity" -- "longitudinal"
"obesity" -- "nutrition"
"obesity" -- "wnt"
"obesity" -- "fetal programming"
"obesity" -- "metabolic disease"
"obesity" -- "food intake"
"obesity" -- "nutritional epidemiology"
"obesity" -- "type 2 diabetes"
"obesity" -- "clinical nutrition"
"obesity" -- "pregnancy"
"obesity" -- "estrogen"
"obesity" -- "weight loss"
"obesity" -- "metabolic syndrome"
"ngs" -- "bioinformatics"
"sram" -- "vlsi"
"critical theory" -- "poststructuralism"
"critical theory" -- "new media studies"
"critical theory" -- "marxism"
"didáctica y organización escolar" -- "educación"
"magnetron sputtering" -- "thin films"
"parasitology" -- "immunology"
"parasitology" -- "leishmania"
"natural language generation" -- "natural language processing"
"functional electrical stimulation" -- "rehabilitation robotics"
"galaxy evolution" -- "cosmology"
"exocytosis" -- "endocytosis"
"system architecture" -- "systems engineering"
"lyme disease" -- "infectious diseases"
"access control" -- "authority"
"program analysis" -- "software engineering"
"fiber optics" -- "photonics"
"fiber optics" -- "optical fiber sensors"
"geoengineering" -- "climate change"
"hcv" -- "hepatitis c virus"
"hcv" -- "hiv"
"hcv" -- "hbv"
"hcv" -- "hcc"
"thin films" -- "cvd"
"thin films" -- "materials science"
"thin films" -- "ald"
"thin films" -- "sputtering"
"thin films" -- "xps"
"thin films" -- "atomic layer deposition"
"teatro" -- "literatura"
"bioengenharia" -- "prótese dentária"
"solid state devices" -- "photonics"
"feminist" -- "queer theory"
"nervous system development" -- "consciousness"
"couples" -- "marriage"
"mm-wave" -- "biomedical systems"
"mm-wave" -- "rf"
"behavioural ecology" -- "evolutionary biology"
"behavioural ecology" -- "animal behaviour"
"behavioural ecology" -- "parental care"
"delay tolerant networks" -- "wireless sensor networks"
"bayesian filtering" -- "target tracking"
"cell mechanics" -- "physics of cancer"
"cell mechanics" -- "cell biophysics"
"cell mechanics" -- "biophysics"
"cell mechanics" -- "mechanosensing"
"visual culture" -- "art history"
"algebraic statistics" -- "combinatorics"
"travel" -- "tourism"
"stability analysis" -- "microwave"
"business model innovation" -- "open innovation"
"syntactic theory" -- "syntax-semantics interface"
"environmental systems analysis" -- "industrial ecology"
"power converters" -- "power electronics"
"scienza dei materiali" -- "silicon"
"cloud physics" -- "radar meteorology"
"cloud physics" -- "aerosols"
"environmental physiology" -- "exercise physiology"
"ecoinformatics" -- "macroecology"
"human development" -- "family studies"
"human development" -- "sustainability"
"games" -- "artificial intelligence"
"relativity" -- "cosmology"
"sustainable engineering" -- "energy"
"sustainable engineering" -- "infrastructure management"
"literatura hispanoamericana" -- "literatura latinoamericana"
"complex diseases" -- "genetics"
"hospice" -- "palliative care"
"zooplankton ecology" -- "biological oceanography"
"physical pharmacy" -- "pharmaceutics"
"sustainable tourism" -- "tourism"
"sustainable tourism" -- "ecotourism"
"ambient intelligence" -- "artificial intelligence"
"oil" -- "gas"
"marine pollution" -- "environmental chemistry"
"deep brain stimulation" -- "parkinson s disease"
"plant hydraulics" -- "plant water relations"
"nonlinear science" -- "complex systems"
"inteligencia artificial" -- "robótica"
"tangible user interfaces" -- "human-computer interaction"
"luminescence" -- "optique"
"luminescence" -- "lanthanides"
"luminescence" -- "rare earth"
"luminescence" -- "spectroscopy"
"movement ecology" -- "habitat selection"
"service quality" -- "services marketing"
"quantum magnetism" -- "condensed matter physics"
"geochimica" -- "idrogeologia"
"electric propulsion" -- "plasma physics"
"commutative algebra" -- "algebraic geometry"
"social behavior" -- "behavioral ecology"
"steroids" -- "chemistry"
"geotechnics" -- "civil engineering"
"preeclampsia" -- "pregnancy"
"environmental catalysis" -- "heterogeneous catalysis"
"electronic instrumentation" -- "optical sensors"
"physical activity promotion" -- "exercise psychology"
"geospatial science" -- "remote sensing"
"career development" -- "school counseling"
"social epidemiology" -- "health disparities"
"social epidemiology" -- "life course epidemiology"
"retirement" -- "population ageing"
"retirement" -- "pensions"
"vascular access" -- "dialysis"
"image processing" -- "color vision"
"image processing" -- "mathematical morphology"
"image processing" -- "data acquisition"
"image processing" -- "color science"
"image processing" -- "thermal imaging"
"image processing" -- "digital holography"
"image processing" -- "wavelets"
"image processing" -- "3d computer vision"
"image processing" -- "multispectral imaging"
"image processing" -- "image compression"
"image processing" -- "feature extraction"
"image processing" -- "computer vision"
"image processing" -- "video compression"
"image processing" -- "digital system design"
"image processing" -- "super-resolution"
"image processing" -- "image quality assessment"
"image processing" -- "numerical computing"
"image processing" -- "image fusion"
"image processing" -- "biomedical signal"
"image processing" -- "digital imaging"
"image processing" -- "particle filtering"
"image processing" -- "biomedical applications"
"image processing" -- "digital watermarking"
"image processing" -- "quality assessment"
"image processing" -- "signal"
"image processing" -- "data hiding"
"image processing" -- "color"
"image processing" -- "variational methods"
"image processing" -- "spectral imaging"
"image processing" -- "inverse problems"
"patient reported outcomes" -- "surveillance"
"sliding mode control" -- "control theory"
"aerosol chemistry" -- "atmospheric chemistry"
"natural product synthesis" -- "organic chemistry"
"signal transduction" -- "protein kinases"
"signal transduction" -- "tumorigenesis"
"signal transduction" -- "cancer biology"
"signal transduction" -- "protein phosphorylation"
"signal transduction" -- "cancer cell biology"
"constitutional law" -- "constitutional theory"
"constitutional law" -- "administrative law"
"constitutional law" -- "comparative law"
"constitutional law" -- "election law"
"constitutional law" -- "civil rights"
"constitutional law" -- "first amendment"
"constitutional law" -- "derecho constitucional"
"constitutional law" -- "public law"
"constitutional law" -- "human rights"
"cognitive neuroscience" -- "semantic memory"
"cognitive neuroscience" -- "computational psychiatry"
"cognitive neuroscience" -- "predictive coding"
"cognitive neuroscience" -- "music cognition"
"cognitive neuroscience" -- "experimental psychology"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "computational cognitive neuroscience"
"cognitive neuroscience" -- "time perception"
"cognitive neuroscience" -- "multisensory processing"
"cognitive neuroscience" -- "clinical neuropsychology"
"cognitive neuroscience" -- "communication disorders"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "neuroaesthetics"
"cognitive neuroscience" -- "episodic memory"
"cognitive neuroscience" -- "affective neuroscience"
"cognitive neuroscience" -- "cognitive neuropsychology"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "motor cognition"
"cognitive neuroscience" -- "mental imagery"
"cognitive neuroscience" -- "interoception"
"dissemination" -- "implementation"
"dissemination" -- "implementation science"
"computational structural biology" -- "bioinformatics"
"materials analysis" -- "microscopy"
"heart" -- "stem cells"
"ai" -- "pr"
"general relativity" -- "cosmology"
"general relativity" -- "relativistic quantum information"
"geology" -- "paleontology"
"geology" -- "mineral exploration"
"geology" -- "sedimentology"
"geology" -- "geochemistry"
"geology" -- "sedimentary petrology"
"geology" -- "petroleum"
"geology" -- "earth history"
"complexity management" -- "global leadership"
"state formation" -- "international relations"
"glaciers" -- "ice sheets"
"welding" -- "residual stress"
"welding" -- "fsw"
"welding" -- "metallurgy"
"complexity theory" -- "algorithms"
"air pollution" -- "exposure assessment"
"air pollution" -- "exposure"
"air pollution" -- "pm2.5"
"air pollution" -- "particulate matter"
"air pollution" -- "aerosol science"
"air pollution" -- "atmospheric chemistry"
"air pollution" -- "climate change"
"air pollution" -- "environmental epidemiology"
"air pollution" -- "volatile organic compounds"
"air pollution" -- "environmental health sciences"
"air pollution" -- "lichens"
"air pollution" -- "air quality modeling"
"air pollution" -- "industrial hygiene"
"artificial intelligence" -- "planning under uncertainty"
"artificial intelligence" -- "procedural content generation"
"artificial intelligence" -- "formation damage"
"artificial intelligence" -- "digital games"
"artificial intelligence" -- "computer games"
"artificial intelligence" -- "cognitive robotics"
"artificial intelligence" -- "semantic web"
"artificial intelligence" -- "spatial reasoning"
"artificial intelligence" -- "interactive storytelling"
"artificial intelligence" -- "constraint programming"
"artificial intelligence" -- "satisfiability"
"artificial intelligence" -- "nonmonotonic reasoning"
"artificial intelligence" -- "cognitive modeling"
"artificial intelligence" -- "interactive narrative"
"artificial intelligence" -- "rehabilitation technologies"
"artificial intelligence" -- "answer set programming"
"artificial intelligence" -- "planning"
"artificial intelligence" -- "automated reasoning"
"artificial intelligence" -- "logic"
"artificial intelligence" -- "swarm intelligence"
"artificial intelligence" -- "knowledge engineering"
"artificial intelligence" -- "natural language"
"artificial intelligence" -- "conversational agents"
"artificial intelligence" -- "computability theory"
"artificial intelligence" -- "decision making under uncertainty"
"artificial intelligence" -- "probabilistic inference"
"artificial intelligence" -- "artificial life"
"artificial intelligence" -- "knowledge acquisition"
"artificial intelligence" -- "optimization techniques"
"artificial intelligence" -- "evolutionary algorithms"
"artificial intelligence" -- "computational game theory"
"artificial intelligence" -- "soft computing"
"artificial intelligence" -- "knowledge representation"
"artificial intelligence" -- "mathematical logic"
"artificial intelligence" -- "human-computer interaction"
"artificial intelligence" -- "autonomous agents"
"artificial intelligence" -- "pricing theory"
"artificial intelligence" -- "semantic technologies"
"artificial intelligence" -- "automated planning"
"artificial intelligence" -- "computational social choice"
"artificial intelligence" -- "agents"
"artificial intelligence" -- "multi-agent systems"
"artificial intelligence" -- "computing with words"
"artificial intelligence" -- "argumentation"
"artificial intelligence" -- "particle swarm optimization"
"artificial intelligence" -- "evolutionary robotics"
"artificial intelligence" -- "logic programming"
"artificial intelligence" -- "evolutionary computation"
"artificial intelligence" -- "java"
"artificial intelligence" -- "rough sets"
"artificial intelligence" -- "genetic programming"
"artificial intelligence" -- "ambient assisted living"
"artificial intelligence" -- "neuroevolution"
"artificial intelligence" -- "fuzzy logic"
"artificial intelligence" -- "analogical reasoning"
"artificial intelligence" -- "game ai"
"artificial intelligence" -- "uncertain programming"
"artificial intelligence" -- "constraint satisfaction"
"artificial intelligence" -- "game design"
"artificial intelligence" -- "clinical decision support systems"
"popular culture" -- "gender"
"popular culture" -- "youth culture"
"engineering design" -- "design education"
