"comparative politics" -- "legislative politics"
"comparative politics" -- "african politics"
"comparative politics" -- "democratization"
"comparative politics" -- "latin america"
"comparative politics" -- "political economy of development"
"comparative politics" -- "chinese politics"
"comparative politics" -- "comparative political economy"
"comparative politics" -- "political institutions"
"material culture" -- "archaeology"
"diamond" -- "materials science"
"information studies" -- "library"
"immigration" -- "urban sociology"
"immigration" -- "critical race theory"
"immigration" -- "latino"
"immigration" -- "race"
"hydrogeophysics" -- "hydrogeology"
"mergers" -- "acquisitions"
"storage systems" -- "operating systems"
"illness" -- "sociology of health"
"peacebuilding" -- "conflict"
"energy economics" -- "environmental economics"
"energy economics" -- "energy policy"
"energy economics" -- "energy markets"
"large eddy simulation" -- "turbulence"
"analysis" -- "algorithm design"
"analysis" -- "partial differential equations"
"analysis" -- "pde"
"ehealth" -- "telemedicine"
"radio" -- "television"
"medical informatics" -- "clinical decision support"
"medical informatics" -- "data mining"
"damage" -- "fracture"
"distributed" -- "parallel computing"
"gravitation" -- "cosmology"
"placenta" -- "pregnancy"
"creative industries" -- "innovation"
"liver disease" -- "immunology"
"platelets" -- "thrombosis"
"data streams" -- "data mining"
"developmental cognitive neuroscience" -- "cognitive development"
"sexual health" -- "hiv prevention"
"volunteering" -- "philanthropy"
"flight dynamics" -- "control"
"planetary science" -- "geophysics"
"planetary science" -- "earth"
"planetary science" -- "astrobiology"
"planetary science" -- "mars"
"autoimmunity" -- "immunology"
"autoimmunity" -- "type 1 diabetes"
"community" -- "crime"
"hplc" -- "mass spectrometry"
"discrete element method" -- "granular materials"
"discrete element method" -- "rock mechanics"
"query processing" -- "databases"
"sports medicine" -- "orthopaedic surgery"
"sports medicine" -- "biomechanics"
"health communication" -- "persuasion"
"health communication" -- "media effects"
"health communication" -- "health literacy"
"health communication" -- "interpersonal communication"
"health communication" -- "risk communication"
"health communication" -- "organizational communication"
"sensors" -- "actuators"
"sensors" -- "wearables"
"sensors" -- "flexible electronics"
"sensors" -- "instrumentation"
"sensors" -- "mems"
"molecular pathology" -- "pathology"
"supply chain" -- "manufacturing systems"
"cardiovascular physiology" -- "pharmacology"
"microrna" -- "cancer"
"reward" -- "addiction"
"object recognition" -- "computer vision"
"dna methylation" -- "epigenetics"
"additive manufacturing" -- "cad"
"additive manufacturing" -- "rapid prototyping"
"additive manufacturing" -- "laser material processing"
"gene delivery" -- "biomaterials"
"gene delivery" -- "drug"
"filosofía del derecho" -- "filosofía política"
"quality management" -- "supply chain management"
"apoptosis" -- "cancer"
"wireless" -- "networks"
"biomathematics" -- "mathematical biology"
"plant biology" -- "plant biochemistry"
"plant biology" -- "genetics"
"durability" -- "concrete"
"brain" -- "mri"
"pollution" -- "environmental science"
"tms" -- "fmri"
"stormwater management" -- "green infrastructure"
"stormwater management" -- "low impact development"
"cellular biology" -- "molecular"
"optimization algorithms" -- "machine learning"
"new media" -- "media literacy"
"cardiology" -- "cardiovascular imaging"
"cardiology" -- "cardiac imaging"
"cardiology" -- "heart failure"
"cardiology" -- "electrophysiology"
"cardiology" -- "interventional cardiology"
"cardiology" -- "internal medicine"
"cardiology" -- "arrhythmia"
"paleomagnetism" -- "tectonics"
"prisons" -- "criminal justice"
"nuclear" -- "particle physics"
"film studies" -- "cultural studies"
"green chemistry" -- "catalysis"
"hydroinformatics" -- "hydrology"
"traffic" -- "transportation"
"jurisprudence" -- "law"
"ubiquitous computing" -- "hci"
"ubiquitous computing" -- "context awareness"
"parameter estimation" -- "system identification"
"systems theory" -- "control theory"
"epigenetics" -- "transcription"
"epigenetics" -- "non-coding rna"
"epigenetics" -- "non-coding rnas"
"epigenetics" -- "genetics"
"mixing" -- "turbulence"
"vision science" -- "optometry"
"leadership" -- "management"
"leadership" -- "emotional intelligence"
"leadership" -- "teams"
"leadership" -- "change management"
"leadership" -- "organizational change"
"cultural psychology" -- "social psychology"
"green building" -- "sustainability"
"paleobiology" -- "paleontology"
"ethnicity" -- "nationalism"
"ethnicity" -- "race"
"photocatalyst" -- "nanomaterials"
"library" -- "archives"
"library" -- "research data management"
"library" -- "open access"
"library" -- "information literacy"
"screening" -- "cancer"
"performance analysis" -- "high performance computing"
"directed evolution" -- "protein engineering"
"natural language processing" -- "information extraction"
"natural language processing" -- "lexical semantics"
"natural language processing" -- "machine translation"
"natural language processing" -- "computational linguistics"
"natural language processing" -- "dialogue"
"natural language processing" -- "natural language generation"
"natural language processing" -- "machine learning"
"natural language processing" -- "language technology"
"social informatics" -- "science"
"free will" -- "philosophy of mind"
"plant cell walls" -- "biofuels"
"biotecnologia" -- "nanotecnologia"
"biotecnologia" -- "microbiologia"
"restoration" -- "conservation"
"molecular physics" -- "atomic"
"social innovation" -- "entrepreneurship"
"functional foods" -- "nutrition"
"data science" -- "machine learning"
"data" -- "machine learning"
"signal processing" -- "biomedical"
"signal processing" -- "radar"
"signal processing" -- "adaptive filtering"
"signal processing" -- "random matrix theory"
"signal processing" -- "wireless communications"
"signal processing" -- "machine learning"
"signal processing" -- "communication"
"signal processing" -- "fault diagnosis"
"signal processing" -- "compressed sensing"
"strategic communication" -- "public relations"
"southeast asia" -- "history"
"geoarchaeology" -- "geomorphology"
"mobile" -- "transportation"
"social epidemiology" -- "health disparities"
"oceanography" -- "marine science"
"oceanography" -- "biogeochemistry"
"oceanography" -- "phytoplankton"
"buildings" -- "energy"
"cartography" -- "geovisualization"
"conversation analysis" -- "social interaction"
"active learning" -- "machine learning"
"wearable computing" -- "augmented reality"
"management information systems" -- "innovation"
"feminism" -- "gender"
"redox biology" -- "biochemistry"
"sickle cell disease" -- "pediatric psychology"
"sickle cell disease" -- "hematology"
"random matrix theory" -- "quantum chaos"
"psychiatric epidemiology" -- "mental health"
"demography" -- "fertility"
"demography" -- "mortality"
"behavior change" -- "nutrition"
"applied physics" -- "materials science"
"aesthetics" -- "philosophy"
"historical sociology" -- "social movements"
"television studies" -- "media studies"
"transitional justice" -- "human rights"
"technology adoption" -- "information systems"
"symbiosis" -- "evolution"
"cybercrime" -- "criminology"
"medicina" -- "biologia"
"medicina" -- "endocrinologia"
"medicina" -- "immunologia"
"array signal processing" -- "radar signal processing"
"wearable sensors" -- "machine learning"
"food technology" -- "food science"
"climate" -- "atmosphere"
"climate" -- "meteorology"
"climate" -- "glaciers"
"climate" -- "physical oceanography"
"climate" -- "precipitation"
"climate" -- "hydrology"
"climate" -- "atmospheric dynamics"
"climate" -- "ocean"
"gps" -- "gnss"
"learning design" -- "educational technology"
"physical organic chemistry" -- "computational chemistry"
"agency" -- "innovation"
"sport psychology" -- "exercise psychology"
"decision support systems" -- "data mining"
"porous materials" -- "catalysis"
"recommender systems" -- "user modeling"
"recommender systems" -- "machine learning"
"cognitive aging" -- "memory"
"care" -- "early childhood education"
"victimization" -- "criminology"
"phase transformation" -- "materials science"
"nonprofits" -- "philanthropy"
"solitons" -- "nonlinear optics"
"oncologia" -- "immunologia"
"oncologia" -- "biologia cellulare"
"computational social science" -- "machine learning"
"neuropharmacology" -- "neuroscience"
"process modeling" -- "simulation"
"residual stress" -- "welding"
"interaction design" -- "design research"
"interaction design" -- "participatory design"
"interaction design" -- "industrial design"
"data visualisation" -- "bioinformatics"
"poetry" -- "creative writing"
"information fusion" -- "machine learning"
"information fusion" -- "target tracking"
"automated reasoning" -- "artificial intelligence"
"environmental pollution" -- "biomonitoring"
"integrated circuits" -- "systems"
"integrated circuits" -- "cmos"
"human factors" -- "ergonomics"
"human factors" -- "aviation"
"surface physics" -- "condensed matter physics"
"behavioral genetics" -- "psychopathology"
"political parties" -- "elections"
"curriculum studies" -- "teacher education"
"experimental fluid mechanics" -- "flow control"
"environmental engineering" -- "chemical"
"environmental engineering" -- "civil"
"environmental engineering" -- "chemical engineering"
"environmental engineering" -- "environmental biotechnology"
"urban history" -- "architecture"
"blood-brain barrier" -- "drug delivery"
"synchrotron" -- "x-ray"
"behavioral economics" -- "experimental economics"
"behavioral economics" -- "experimental"
"fisiologia" -- "farmacologia"
"fisiologia" -- "bioquímica"
"applied microbiology" -- "biotechnology"
"bioinformatics" -- "protein structure"
"bioinformatics" -- "comparative genomics"
"bioinformatics" -- "rna"
"bioinformatics" -- "microarray"
"bioinformatics" -- "genome evolution"
"bioinformatics" -- "next generation sequencing"
"bioinformatics" -- "rna structure"
"bioinformatics" -- "translational medicine"
"bioinformatics" -- "ngs"
"bioinformatics" -- "precision medicine"
"bioinformatics" -- "computational structural biology"
"bioinformatics" -- "machine learning"
"bioinformatics" -- "protein-protein interactions"
"bioinformatics" -- "cheminformatics"
"bioinformatics" -- "plant genomics"
"bioinformatics" -- "gwas"
"bioinformatics" -- "computational genomics"
"bioinformatics" -- "molecular evolution"
"bioinformatics" -- "genomics"
"bioinformatics" -- "metagenomics"
"bioinformatics" -- "microbial genomics"
"bioinformatics" -- "omics"
"bioinformatics" -- "proteomics"
"bioinformatics" -- "computational systems biology"
"bioinformatics" -- "rna-seq"
"bioinformatics" -- "visualisation"
"bioinformatics" -- "chemoinformatics"
"bone" -- "arthritis"
"bone" -- "osteoporosis"
"bone" -- "biomechanics"
"validation" -- "verification"
"gynecology" -- "obstetrics"
"cvd" -- "thin films"
"geophysics" -- "seismology"
"geophysics" -- "geodesy"
"geophysics" -- "seismic imaging"
"geophysics" -- "rock physics"
"geophysics" -- "geodynamics"
"geophysics" -- "geothermal"
"geophysics" -- "geology"
"geophysics" -- "seismic"
"geophysics" -- "mineral physics"
"geophysics" -- "inversion"
"geophysics" -- "volcanoes"
"multimedia signal processing" -- "video coding"
"nanomaterials" -- "electrochemical energy storage"
"nanomaterials" -- "optoelectronic devices"
"nanomaterials" -- "photocatalysis"
"nanomaterials" -- "mesoporous materials"
"nanomaterials" -- "lithium batteries"
"nanomaterials" -- "catalyst"
"integrable systems" -- "mathematical physics"
"vitamin d" -- "nutrition"
"co2 capture" -- "energy"
"mental illness" -- "mental health"
"computational complexity" -- "algorithms"
"benthic ecology" -- "marine ecology"
"tecnología educativa" -- "tic"
"orthodontics" -- "dentistry"
"cognitive development" -- "language development"
"cognitive development" -- "developmental psychology"
"cognitive development" -- "executive function"
"species distribution modelling" -- "biogeography"
"motor control" -- "coordination"
"motor control" -- "neuroscience"
"motor control" -- "motor learning"
"theoretical physics" -- "condensed matter physics"
"soft robotics" -- "advanced manufacturing"
"neuroimmunology" -- "immunology"
"english" -- "education"
"mining" -- "rock mechanics"
"computational statistics" -- "machine learning"
"applied econometrics" -- "labor economics"
"social network analysis" -- "data mining"
"participatory design" -- "co-design"
"irrigation" -- "hydrology"
"irrigation" -- "water management"
"discourse" -- "ideology"
"formal verification" -- "model checking"
"inorganic" -- "organometallic chemistry"
"human microbiome" -- "metagenomics"
"molecular beam epitaxy" -- "semiconductors"
"tuberculosis" -- "infectious diseases"
"computational intelligence" -- "machine learning"
"asset pricing" -- "behavioral finance"
"asset pricing" -- "financial econometrics"
"asset pricing" -- "derivatives"
"asset pricing" -- "corporate finance"
"asset pricing" -- "liquidity"
"asset pricing" -- "market microstructure"
"medical anthropology" -- "global health"
"tourism" -- "sustainable tourism"
"mobile learning" -- "informal learning"
"mobile learning" -- "educational technology"
"numerical optimization" -- "machine learning"
"dna repair" -- "cancer"
"dna repair" -- "dna replication"
"dna repair" -- "meiosis"
"dna repair" -- "genome stability"
"dna repair" -- "recombination"
"numerical" -- "applied mathematics"
"theoretical" -- "observational cosmology"
"theoretical" -- "computational chemistry"
"knowledge" -- "innovation"
"conceptual modeling" -- "ontologies"
"systems thinking" -- "system dynamics"
"concrete" -- "frp"
"concrete" -- "construction materials"
"concrete" -- "cement"
"health education" -- "public health"
"mathematical physics" -- "noncommutative geometry"
"mathematical physics" -- "spectral theory"
"mathematical physics" -- "quantum field theory"
"mathematical physics" -- "differential geometry"
"mathematical physics" -- "mathematics"
"scholarly communication" -- "publishing"
"scholarly communication" -- "open access"
"indigenous" -- "mental health"
"information systems" -- "e-business"
"information systems" -- "electronic commerce"
"information systems" -- "e-commerce"
"information systems" -- "e-government"
"information systems" -- "decision support"
"information systems" -- "adoption"
"information systems" -- "service science"
"information systems" -- "developing countries"
"surgical oncology" -- "general surgery"
"graph theory" -- "combinatorics"
"graph theory" -- "algorithms"
"graph theory" -- "linear algebra"
"geometric morphometrics" -- "evolutionary biology"
"operator algebras" -- "functional analysis"
"statistical signal processing" -- "machine learning"
"stm" -- "surface science"
"astrocytes" -- "neuroscience"
"phylogenetics" -- "plant evolution"
"phylogenetics" -- "phylogeography"
"phylogenetics" -- "evolution"
"tribology" -- "lubrication"
"tribology" -- "surface engineering"
"tribology" -- "materials science"
"tribology" -- "contact mechanics"
"tribology" -- "friction"
"tribology" -- "wear"
"welfare" -- "poverty"
"genomics" -- "personalized medicine"
"genomics" -- "transposable elements"
"genomics" -- "rna biology"
"genomics" -- "evolutionary genetics"
"genomics" -- "epigenomics"
"genomics" -- "gene expression"
"genomics" -- "medical genetics"
"genomics" -- "gene regulation"
"genomics" -- "human genetics"
"genomics" -- "sequencing"
"genomics" -- "transcriptomics"
"genomics" -- "evolution"
"genomics" -- "genetics"
"genomics" -- "quantitative genetics"
"genomics" -- "disease"
"auditing" -- "financial accounting"
"auditing" -- "accounting"
"auditing" -- "accounting education"
"instructional design" -- "educational technology"
"television" -- "film"
"materials characterization" -- "materials science"
"bayesian econometrics" -- "time series econometrics"
"systems engineering" -- "engineering management"
"systems engineering" -- "engineering design"
"communication technology" -- "information"
"molecular neuroscience" -- "cellular"
"international development" -- "gender"
"materials science" -- "characterization"
"materials science" -- "transmission electron microscopy"
"materials science" -- "metals"
"materials science" -- "materials processing"
"materials science" -- "metallurgy"
"materials science" -- "nanoindentation"
"materials science" -- "condensed matter physics"
"materials science" -- "polymer science"
"materials science" -- "oxides"
"materials science" -- "nuclear materials"
"materials science" -- "optical materials"
"materials science" -- "thin films"
"materials science" -- "electron microscopy"
"materials science" -- "ceramics"
"materials science" -- "engineering"
"materials science" -- "optical spectroscopy"
"materials science" -- "failure analysis"
"materials science" -- "solid state physics"
"materials science" -- "thermoelectric materials"
"materials science" -- "chemical engineering"
"materials science" -- "polymer engineering"
"materials science" -- "radiation effects"
"materials science" -- "metallic glasses"
"materials science" -- "powder metallurgy"
"materials science" -- "chemistry"
"materials science" -- "electrical engineering"
"materials science" -- "physical metallurgy"
"materials science" -- "experimental physics"
"materials science" -- "nanophysics"
"materials science" -- "mechanical engineering"
"materials science" -- "alternative energy"
"constraint programming" -- "artificial intelligence"
"microwave photonics" -- "optical communications"
"earth sciences" -- "geology"
"headache" -- "migraine"
"headache" -- "pain"
"piv" -- "fluid mechanics"
"convex optimization" -- "machine learning"
"formal languages" -- "automata theory"
"petrology" -- "geochemistry"
"behavioral finance" -- "household finance"
"diagnostics" -- "microfluidics"
"heart failure" -- "atrial fibrillation"
"latin american literature" -- "culture"
"transition" -- "transportation"
"metal forming" -- "manufacturing"
"quantum measurement" -- "quantum optics"
"hypertension" -- "chronic kidney disease"
"hypertension" -- "kidney"
"hypertension" -- "diabetes"
"diffusion" -- "mri"
"motor development" -- "physical activity"
"computational chemistry" -- "physical chemistry"
"computational chemistry" -- "quantum chemistry"
"computational chemistry" -- "electronic structure"
"computational chemistry" -- "molecular modeling"
"obesity" -- "diabetes"
"obesity" -- "bariatric surgery"
"obesity" -- "metabolic disease"
"obesity" -- "pregnancy"
"obesity" -- "nutritional epidemiology"
"obesity" -- "metabolic syndrome"
"obesity" -- "nutrition"
"obesity" -- "physical activity"
"obesity" -- "type 2 diabetes"
"obesity" -- "feeding"
"cultural evolution" -- "social learning"
"cultural evolution" -- "evolutionary anthropology"
"environmental science" -- "soil science"
"wetland ecology" -- "restoration ecology"
"crystal growth" -- "semiconductors"
"self" -- "identity"
"mechanics" -- "materials"
"critical theory" -- "cultural studies"
"critical theory" -- "marxism"
"practice" -- "higher education policy"
"cell culture" -- "tissue engineering"
"sensitivity analysis" -- "uncertainty quantification"
"microbial evolution" -- "microbial ecology"
"parasitology" -- "immunology"
"concussion" -- "traumatic brain injury"
"electromagnetics" -- "scattering"
"electromagnetics" -- "emc"
"electromagnetics" -- "antenna design"
"emerging technologies" -- "information literacy"
"south asia" -- "gender"
"volcanology" -- "geochemistry"
"ict" -- "education"
"society" -- "law"
"forecasting" -- "time series"
"access control" -- "security"
"neck surgery" -- "head"
"fiber optics" -- "photonics"
"fiber optics" -- "optical fiber sensors"
"nutritional epidemiology" -- "cardiovascular epidemiology"
"photovoltaics" -- "solar cells"
"photovoltaics" -- "thin film solar cells"
"photovoltaics" -- "organic semiconductors"
"photovoltaics" -- "perovskite"
"photovoltaics" -- "silicon"
"photovoltaics" -- "device physics"
"thin films" -- "optical properties"
"self-regulation" -- "motivation"
"longevity" -- "aging"
"couples" -- "marriage"
"tsunami" -- "coastal engineering"
"behavioural ecology" -- "evolutionary biology"
"behavioural ecology" -- "sensory ecology"
"behavioural ecology" -- "animal behaviour"
"floods" -- "hydrology"
"nitrogen" -- "phosphorus"
"nitrogen" -- "biogeochemistry"
"cell mechanics" -- "biophysics"
"neurobiology" -- "neuroethology"
"neurobiology" -- "neuroscience"
"visual culture" -- "art history"
"biochar" -- "soil science"
"sofc" -- "ceramics"
"valuation" -- "financial accounting"
"stem cell research" -- "tissue engineering"
"mobile health" -- "machine learning"
"bone biology" -- "cell biology"
"early childhood" -- "parenting"
"rheumatology" -- "immunology"
"rheumatology" -- "rheumatoid arthritis"
"seismic design" -- "earthquake engineering"
"sustainability science" -- "innovation"
"gerontology" -- "aging"
"human development" -- "sustainability"
"games" -- "artificial intelligence"
"database systems" -- "data mining"
"carbohydrates" -- "organic chemistry"
"cognitive training" -- "working memory"
"oncology" -- "immunology"
"oncology" -- "hematology"
"paleoanthropology" -- "human evolution"
"high energy astrophysics" -- "cosmic rays"
"medieval literature" -- "medieval studies"
"automotive" -- "control"
"co-design" -- "service design"
"chronic disease" -- "epidemiology"
"technology studies" -- "science"
"theory" -- "algorithms"
"intelligent systems" -- "machine learning"
"dermatology" -- "immunology"
"cancer cell biology" -- "signal transduction"
"green it" -- "sustainability"
"pancreatitis" -- "pancreatic cancer"
"pancreatitis" -- "gastroenterology"
"stem cell therapy" -- "tissue engineering"
"user experience" -- "usability"
"compilers" -- "programming languages"
"knowledge management" -- "information management"
"knowledge management" -- "innovation"
"knowledge management" -- "organizational learning"
"structural optimization" -- "topology optimization"
"structural optimization" -- "multidisciplinary design optimization"
"structural optimization" -- "computational mechanics"
"formulation" -- "drug delivery"
"luminescence" -- "spectroscopy"
"plant biotechnology" -- "molecular biology"
"integrated circuit design" -- "vlsi"
"power systems" -- "renewable energy"
"history of economic thought" -- "economic history"
"radiation physics" -- "radiation biology"
"radiation physics" -- "medical physics"
"commutative algebra" -- "algebraic geometry"
"paediatrics" -- "child health"
"social behavior" -- "behavioral ecology"
"autoimmune diseases" -- "immunology"
"turbomachinery" -- "aerodynamics"
"scaling" -- "biomechanics"
"signal" -- "information processing"
"language development" -- "gesture"
"capital structure" -- "corporate finance"
"structural reliability" -- "earthquake engineering"
"model checking" -- "formal methods"
"retirement" -- "aging"
"retirement" -- "pensions"
"services marketing" -- "service innovation"
"services marketing" -- "relationship marketing"
"services marketing" -- "consumer behavior"
"scanning tunneling microscopy" -- "surface science"
"periodismo" -- "comunicación"
"periodismo" -- "redes sociales"
"periodismo" -- "journalism"
"derivatives" -- "credit risk"
"environmental sociology" -- "social movements"
"sliding mode control" -- "control theory"
"paleontology" -- "paleoecology"
"paleontology" -- "geology"
"mesoscopic physics" -- "condensed matter physics"
"drosophila" -- "genetics"
"transcription factors" -- "gene regulation"
"integrated photonics" -- "quantum optics"
"minimally invasive surgery" -- "bariatric surgery"
"signal transduction" -- "cancer biology"
"constitutional law" -- "public law"
"constitutional law" -- "comparative law"
"constitutional law" -- "human rights"
"transnationalism" -- "migration"
"collective action" -- "social movements"
"cognitive neuroscience" -- "neuropsychology"
"cognitive neuroscience" -- "memory"
"cognitive neuroscience" -- "affective neuroscience"
"cognitive neuroscience" -- "cognitive psychology"
"cognitive neuroscience" -- "psychology"
"cognitive neuroscience" -- "attention"
"cognitive neuroscience" -- "experimental psychology"
"cognitive neuroscience" -- "time perception"
"cognitive neuroscience" -- "music cognition"
"cognitive neuroscience" -- "episodic memory"
"drug metabolism" -- "pharmacokinetics"
"health law" -- "bioethics"
"applied machine learning" -- "data mining"
"bioremediation" -- "environmental microbiology"
"bioremediation" -- "phytoremediation"
"computational photography" -- "computer vision"
"cell" -- "molecular biology"
"bayesian modeling" -- "machine learning"
"ionosphere" -- "space physics"
"nuclear physics" -- "particle physics"
"nuclear physics" -- "nuclear astrophysics"
"nuclear physics" -- "particles"
"geology" -- "tectonics"
"geology" -- "geomorphology"
"geology" -- "sedimentology"
"geology" -- "geochemistry"
"synapses" -- "neuroscience"
"automata theory" -- "logic"
"3d" -- "computer vision"
"drug delivery" -- "pharmaceutics"
"drug delivery" -- "pharmaceutical sciences"
"drug delivery" -- "nanoparticles"
"drug delivery" -- "biomaterials"
"drug delivery" -- "implants"
"drug delivery" -- "cancer therapy"
"drug delivery" -- "nanomedicine"
"internationalization" -- "international business"
"political methodology" -- "international relations"
"agroforestry" -- "forestry"
"psychopharmacology" -- "neuroscience"
"political psychology" -- "public opinion"
"political psychology" -- "experiments"
"political psychology" -- "social psychology"
"representation theory" -- "algebraic geometry"
"representation theory" -- "algebraic combinatorics"
"welding" -- "metallurgy"
"complexity theory" -- "algorithms"
"air pollution" -- "environmental epidemiology"
"air pollution" -- "exposure assessment"
"artificial intelligence" -- "cognitive robotics"
"artificial intelligence" -- "cognitive science"
"artificial intelligence" -- "digital games"
"artificial intelligence" -- "heuristic search"
"artificial intelligence" -- "soft computing"
"artificial intelligence" -- "pricing theory"
"artificial intelligence" -- "expert systems"
"artificial intelligence" -- "computational creativity"
"artificial intelligence" -- "automated planning"
"artificial intelligence" -- "computer games"
"artificial intelligence" -- "video games"
"artificial intelligence" -- "multi-agent systems"
"artificial intelligence" -- "machine learning"
"artificial intelligence" -- "argumentation"
"artificial intelligence" -- "cognitive modeling"
"artificial intelligence" -- "ambient intelligence"
"artificial intelligence" -- "evolutionary computation"
"artificial intelligence" -- "logic programming"
"artificial intelligence" -- "logic"
"artificial intelligence" -- "swarm intelligence"
"artificial intelligence" -- "knowledge engineering"
"artificial intelligence" -- "evolutionary algorithms"
"artificial intelligence" -- "planning"
"artificial intelligence" -- "fuzzy logic"
"artificial intelligence" -- "artificial neural networks"
"artificial intelligence" -- "mathematical logic"
"artificial intelligence" -- "artificial life"
"artificial intelligence" -- "genetic programming"
"artificial intelligence" -- "genetic algorithms"
"european integration" -- "international relations"
"dna" -- "biophysics"
"economy" -- "management"
"medical statistics" -- "epidemiology"
"earthquake engineering" -- "engineering seismology"
"earthquake engineering" -- "soil-structure interaction"
"earthquake engineering" -- "bridge engineering"
"ubiquitin" -- "biochemistry"
"electrophysiology" -- "neuroscience"
"human resources" -- "organizational behavior"
"philosophy of law" -- "political philosophy"
"telehealth" -- "telemedicine"
"health sciences" -- "public health"
"risk assessment" -- "toxicology"
"risk assessment" -- "reliability analysis"
"violence" -- "aggression"
"violence" -- "criminology"
"online algorithms" -- "approximation algorithms"
"oral history" -- "archives"
"oral history" -- "memory studies"
"computational" -- "network security"
"system identification" -- "control"
"wind power" -- "renewable energy"
"population genetics" -- "human evolution"
"population genetics" -- "experimental evolution"
"population genetics" -- "evolution"
"microeconomics" -- "game theory"
"family economics" -- "labor economics"
"science" -- "technology"
"statistics" -- "research methodology"
"statistics" -- "quality control"
"statistics" -- "research methods"
"statistics" -- "robustness"
"statistics" -- "mathematical statistics"
"statistics" -- "psychometrics"
"statistics" -- "actuarial science"
"statistics" -- "machine learning"
"statistics" -- "design of experiments"
"statistics" -- "experimental design"
"neuroanatomy" -- "neuroscience"
"static analysis" -- "programming languages"
"integrated pest management" -- "entomology"
"paleoecology" -- "taphonomy"
"internet of things" -- "smart cities"
"internet of things" -- "wireless sensor networks"
"type systems" -- "programming languages"
"community development" -- "housing"
"infancy" -- "developmental psychology"
"turbulence modeling" -- "computational fluid dynamics"
"ancient history" -- "classics"
"ancient history" -- "archaeology"
"petroleum engineering" -- "geomechanics"
"petroleum engineering" -- "reservoir engineering"
"intellectual property law" -- "law"
"philosophy of mind" -- "philosophy of language"
"philosophy of mind" -- "cognitive science"
"philosophy of mind" -- "philosophy of cognitive science"
"cellulose" -- "lignin"
"aids" -- "south africa"
"supply chain management" -- "operations management"
"supply chain management" -- "inventory management"
"social identity" -- "social psychology"
"environmental fluid mechanics" -- "turbulence"
"information security" -- "cryptology"
"information security" -- "digital forensics"
"information security" -- "cryptography"
"fracture mechanics" -- "damage mechanics"
"fracture mechanics" -- "composite materials"
"fracture mechanics" -- "computational mechanics"
"fracture mechanics" -- "elasticity"
"fracture mechanics" -- "fatigue"
"caregiving" -- "dementia"
"surface chemistry" -- "flotation"
"economia" -- "finanzas"
"politics" -- "gender"
"politics" -- "religion"
"politics" -- "history"
"wireless security" -- "wireless networks"
"quantitative finance" -- "financial econometrics"
"aeroacoustics" -- "fluid mechanics"
"lab-on-a-chip" -- "microfluidics"
"fmri" -- "functional connectivity"
"fmri" -- "dti"
"fmri" -- "connectivity"
"fmri" -- "neuroscience"
"corals" -- "coral reefs"
"toxicology" -- "pharmacology"
"combinatorics" -- "discrete geometry"
"combinatorics" -- "group theory"
"pharmacy" -- "pharmacology"
"insect ecology" -- "entomology"
"interfaces" -- "colloids"
"interfaces" -- "surface"
"waveguides" -- "photonics"
"neuromorphic engineering" -- "computational neuroscience"
"cancer immunology" -- "immunotherapy"
"dyslexia" -- "learning disabilities"
"dyslexia" -- "reading"
"parallel" -- "distributed computing"
"physiology" -- "cardiovascular"
"physiology" -- "neuroscience"
"statistical inference" -- "machine learning"
"continuum mechanics" -- "computational mechanics"
"frailty" -- "aging"
"precision measurement" -- "atomic physics"
"aerosols" -- "cloud physics"
"causal inference" -- "program evaluation"
"anesthesiology" -- "regional anesthesia"
"anesthesiology" -- "critical care"
"anesthesiology" -- "neuroscience"
"neurodevelopment" -- "neuroscience"
"fatigue" -- "creep"
"fatigue" -- "fracture"
"tracking" -- "computer vision"
"historical archaeology" -- "archaeology"
"visible light communications" -- "wireless communications"
"nuclear engineering" -- "heat transfer"
"cognitive systems" -- "machine learning"
"environmental geochemistry" -- "hydrogeology"
"gamification" -- "serious games"
"multimedia communications" -- "video coding"
"morphometrics" -- "evolutionary biology"
"nitrogen cycling" -- "microbial ecology"
"campaigns" -- "elections"
"social history" -- "economic history"
"political geography" -- "migration"
"political geography" -- "geopolitics"
"biologia" -- "farmacologia"
"biologia" -- "chimica"
"organic chemistry" -- "polymer chemistry"
"organic chemistry" -- "pharmaceutical chemistry"
"organic chemistry" -- "catalysis"
"organic chemistry" -- "carbohydrate chemistry"
"organic chemistry" -- "synthesis"
"organic chemistry" -- "organic materials"
"environmental ethics" -- "bioethics"
"antitrust" -- "industrial organization"
"philosophy of language" -- "philosophical logic"
"philosophy of language" -- "metaethics"
"micologia" -- "ecologia"
"micologia" -- "microbiologia"
"tectonic geomorphology" -- "active tectonics"
"medical physics" -- "medical imaging"
"medical physics" -- "radiation therapy"
"medical physics" -- "radiotherapy"
"medical physics" -- "dosimetry"
"medical physics" -- "monte carlo"
"medical physics" -- "radiation oncology"
"medical physics" -- "monte carlo simulation"
"recovery" -- "resilience"
"medical image computing" -- "medical image analysis"
"traffic flow theory" -- "network modeling"
"traffic flow theory" -- "intelligent transportation systems"
"mobile security" -- "system security"
"photochemistry" -- "physical chemistry"
"photochemistry" -- "photophysics"
"attitudes" -- "social psychology"
"amo physics" -- "ultracold atoms"
"catalysis" -- "mofs"
"catalysis" -- "biomass conversion"
"catalysis" -- "metal-organic frameworks"
"catalysis" -- "hydrogen storage"
