"environmental toxicology" -- "environmental chemistry"
"health informatics" -- "ehealth"
"health informatics" -- "data mining"
"social media" -- "internet studies"
"social media" -- "digital technologies"
"social media" -- "digital media"
"social media" -- "online communities"
"social media" -- "emergency management"
"social media" -- "digital culture"
"social media" -- "public relations"
"social media" -- "computer-mediated communication"
"social media" -- "social networks"
"social media" -- "digital"
"social media" -- "web 2.0"
"social media" -- "mobile technology"
"social media" -- "political participation"
"social media" -- "new media"
"dopamine" -- "basal ganglia"
"dopamine" -- "neuroscience"
"publicidad" -- "comunicación"
"evolutionary" -- "conservation biology"
"protein interactions" -- "proteomics"
"conditioning" -- "exercise physiology"
"training" -- "development"
"radiation" -- "aerosols"
"literacy" -- "reading comprehension"
"literacy" -- "reading"
"literacy" -- "writing"
"literacy" -- "language"
"literacy" -- "children s literature"
"infection" -- "immunology"
"infection" -- "immunity"
"traffic engineering" -- "transportation planning"
"brain development" -- "neuroimaging"
"food processing" -- "food engineering"
"electronic engineering" -- "electrical"
"structural engineering" -- "concrete structures"
"structural engineering" -- "earthquake engineering"
"structural engineering" -- "reinforced concrete"
"structural engineering" -- "steel structures"
"structural engineering" -- "civil engineering"
"language learning" -- "applied linguistics"
"biological chemistry" -- "organic chemistry"
"birds" -- "ecology"
"social enterprise" -- "nonprofits"
"evolutionary physiology" -- "ecology"
"landscape" -- "archaeology"
"scientific computing" -- "numerical analysis"
"neuroethics" -- "bioethics"
"prosocial behavior" -- "social cognition"
"environmental monitoring" -- "remote sensing"
"property" -- "law"
"impact" -- "composites"
"smart grid" -- "electric vehicles"
"smart grid" -- "power system protection"
"smart grid" -- "distributed generation"
"smart grid" -- "asset management"
"smart grid" -- "demand response"
"smart grid" -- "smart buildings"
"smart grid" -- "power systems"
"smart grid" -- "power system operation"
"rf circuits" -- "systems"
"robotics" -- "autonomy"
"robotics" -- "control theory"
"robotics" -- "slam"
"robotics" -- "autonomous vehicles"
"robotics" -- "state estimation"
"robotics" -- "multi-robot systems"
"robotics" -- "control engineering"
"robotics" -- "prosthetics"
"robotics" -- "nonlinear control"
"robotics" -- "manipulation"
"robotics" -- "multibody dynamics"
"robotics" -- "human-robot interaction"
"robotics" -- "teleoperation"
"robotics" -- "motion control"
"robotics" -- "robust control"
"robotics" -- "path planning"
"robotics" -- "automatic control"
"robotics" -- "biomechanics"
"robotics" -- "hri"
"robotics" -- "humanoid robotics"
"robotics" -- "autonomous systems"
"robotics" -- "haptics"
"robotics" -- "localization"
"robotics" -- "automation"
"robotics" -- "control systems"
"robotics" -- "cybernetics"
"robotics" -- "intelligent control"
"robotics" -- "computer vision"
"robotics" -- "control"
"robotics" -- "unmanned aerial vehicles"
"robotics" -- "grasping"
"robotics" -- "biomimetics"
"robotics" -- "mechatronics"
"robotics" -- "motion planning"
"robotics" -- "bio-inspired robotics"
"robotics" -- "medical robotics"
"robotics" -- "navigation"
"robotics" -- "uav"
"robotics" -- "sensor fusion"
"robotics" -- "kinematics"
"robotics" -- "rehabilitation robotics"
"robotics" -- "distributed control"
"prostate cancer" -- "breast cancer"
"virtual teams" -- "creativity"
"statistical genetics" -- "genetic epidemiology"
"statistical genetics" -- "bioinformatics"
"statistical genetics" -- "psychiatric genetics"
"peatlands" -- "hydrology"
"physical education" -- "health"
"ecological economics" -- "environmental economics"
"rehabilitation engineering" -- "biomechanics"
"image registration" -- "medical image analysis"
"object detection" -- "computer vision"
"object detection" -- "recognition"
"stochastic systems" -- "optimization"
"computational design" -- "architecture"
"gpu" -- "fpga"
"surface analysis" -- "electrochemistry"
"metasurfaces" -- "metamaterials"
"global optimization" -- "optimization"
"humanitarianism" -- "refugees"
"distributed algorithms" -- "distributed systems"
"reaction engineering" -- "catalysis"
"financial regulation" -- "banking"
"indigenous studies" -- "anthropology"
"cancer genomics" -- "bioinformatics"
"optimization" -- "process control"
"optimization" -- "energy systems"
"optimization" -- "optimal control"
"optimization" -- "reliability"
"optimization" -- "process design"
"optimization" -- "model predictive control"
"optimization" -- "power systems"
"optimization" -- "system design"
"optimization" -- "simulation"
"optimization" -- "statistical machine learning"
"optimization" -- "stochastics"
"optimization" -- "electric power systems"
"optimization" -- "machine learning"
"optimization" -- "process systems engineering"
"optimization" -- "game theory"
"applied probability" -- "statistics"
"applied probability" -- "stochastic modeling"
"applied probability" -- "queueing theory"
