"dtn" -- "networks"
"applied mathematics" -- "optimal design"
"applied mathematics" -- "fluid mechanics"
"applied mathematics" -- "numerical"
"applied mathematics" -- "nonlinear phenomena"
"marketing management" -- "strategic management"
"spacecraft dynamics" -- "control"
"protein folding" -- "molecular chaperones"
"protein folding" -- "misfolding"
"protein folding" -- "biophysics"
"protein folding" -- "protein misfolding"
"protein folding" -- "degradation"
"us" -- "china"
"hydrogeology" -- "computational geoscience"
"hydrogeology" -- "geothermal energy"
"hydrogeology" -- "karst"
"hydrogeology" -- "geostatistics"
"hydrogeology" -- "groundwater modeling"
"hydrogeology" -- "hydrology"
"hydrogeology" -- "hydrogeophysics"
"hydrogeology" -- "hydrochemistry"
"hydrogeology" -- "groundwater"
"hydrogeology" -- "contaminants"
"hydrogeology" -- "groundwater-surface water interaction"
"örgütsel davranış" -- "etik"
"quality assurance" -- "higher education"
"heavy oil" -- "interfacial science"
"land reclamation" -- "soil physics"
"international business" -- "international entrepreneurship"
"international business" -- "multinational firms"
"international business" -- "transaction cost economics"
"international business" -- "internationalization"
"international business" -- "emerging economies"
"international business" -- "assistant professor"
"international business" -- "cross-cultural management"
"international business" -- "emerging markets"
"entrepreneurial finance" -- "corporate finance"
"roman economy" -- "roman archaeology"
"stem cell transplantation" -- "hematologic malignancies"
"engineering mechanics" -- "structural engineering"
"solar wind" -- "plasma turbulence"
"neurosurgery" -- "spinal surgery"
"neurosurgery" -- "medical image registration"
"neurosurgery" -- "brain tumors"
"neurosurgery" -- "spine surgery"
"neurosurgery" -- "neuro-oncology"
"neurosurgery" -- "neuroscience"
"neurosurgery" -- "functional neurosurgery"
"neurosurgery" -- "skull base surgery"
"neurosurgery" -- "pediatric neurosurgery"
"neurosurgery" -- "aneurysms"
"prey dynamics" -- "fisheries acoustics"
"supercritical fluids" -- "biofuels"
"breast" -- "cancer"
"correlated electrons" -- "superconductivity"
"organizational development" -- "organizational learning"
"psychophysics" -- "vision"
"philosophy of ecology" -- "philosophy of biology"
"neuroethics" -- "bioethics"
"school counseling" -- "career development"
"school counseling" -- "counselor education"
"student learning" -- "teacher education"
"naval architecture" -- "ocean engineering"
"naval architecture" -- "maritime engineering"
"naval architecture" -- "ship design"
"bioenergetics" -- "mitochondria"
"clusters of galaxies" -- "cosmology"
"energy conversion" -- "storage"
"energy conversion" -- "storage devices"
"energy conversion" -- "nanomaterials"
"bacterial adhesion" -- "platelets"
"ultrasound imaging" -- "photoacoustic imaging"
"network neuroscience" -- "meditation"
"drug delivery systems" -- "biomaterials"
"procesamiento de imágenes" -- "investigación operativa"
"procesamiento de imágenes" -- "medicina"
"action theory" -- "philosophy of mind"
"observers" -- "control"
"service oriented architecture" -- "computer system performance evaluation"
"fish immunology" -- "soi-ustan"
"clil" -- "language"
"cerebrovascular" -- "cardiovascular"
"coma" -- "consciousness"
"predictive coding" -- "autism"
"consumer electronics" -- "ubiquitous computing"
"materiais" -- "química"
"nonlinear signal processing" -- "processing"
"neurocognition" -- "aids"
"millimeter-wave circuits" -- "microwave"
"behavioral neuroscience" -- "behavioral neuroendocrinology"
"behavioral neuroscience" -- "memory"
"cultural heritage management" -- "media history"
"evolutionary psychology" -- "mating"
"seismic interferometry" -- "seismology"
"information theory" -- "coding theory"
"information theory" -- "network coding"
"information theory" -- "nonequilibrium statistical mechanics"
"information theory" -- "distributed storage systems"
"information theory" -- "communication theory"
"information theory" -- "information theoretic security"
"information theory" -- "error control coding"
"information theory" -- "data networks"
"information theory" -- "coding"
"information theory" -- "error correcting codes"
"forest conservation" -- "climate change"
"diplomacy" -- "international relations"
"nanocomposite materials" -- "plasma technology"
"microbe-host interactions" -- "genomics"
"time series econometrics" -- "empirical macroeconomics"
"time series econometrics" -- "macroeconomics"
"tropical convection" -- "mesoscale meteorology"
"sound change" -- "phonetics"
"condensed matter experiment" -- "2d materials"
"workplace deviance" -- "leadership"
"process integration" -- "energy efficiency"
"environmental analysis" -- "analytical chemistry"
"exercise immunology" -- "exercise physiology"
"neuroscience" -- "acupuncture"
"neuroscience" -- "neuroregeneration"
"neuroscience" -- "behavioral psychology"
"neuroscience" -- "spatial navigation"
"neuroscience" -- "sensory neurobiology"
"neuroscience" -- "synaptic plasticity"
"neuroscience" -- "love"
"neuroscience" -- "cognitive neurology"
"neuroscience" -- "neuroimmunology"
"neuroscience" -- "musculoskeletal biology"
"neuroscience" -- "connectomics"
"neuroscience" -- "visual science"
"neuroscience" -- "gene therapy"
"neuroscience" -- "addiction"
"neuroscience" -- "vocalization"
"neuroscience" -- "neurodegenerative diseases"
"neuroscience" -- "neuropsychopharmacology"
"neuroscience" -- "auditory system"
"neuroscience" -- "mr imaging"
"neuroscience" -- "psychiatry"
"neuroscience" -- "psychology"
"neuroscience" -- "circadian biology"
"neuroscience" -- "ipsc"
"neuroscience" -- "somatosensation"
"neuroscience" -- "motor control"
"neuroscience" -- "hemispheric specialization"
"neuroscience" -- "neurological diseases"
"neuroscience" -- "steroid hormones"
"neuroscience" -- "ion channels"
"neuroscience" -- "brain science"
"neuroscience" -- "orofacial pain"
"neuroscience" -- "neuroimaging"
"neuroscience" -- "drug addiction"
"neuroscience" -- "spatial vision"
"neuroscience" -- "movement"
"neuroscience" -- "als"
"neuroscience" -- "learning memory"
"neuroscience" -- "physiology"
"neuroscience" -- "neurobiology"
"neuroscience" -- "optogenetics"
"neuroscience" -- "neuropathic pain"
"neuroscience" -- "brain"
"neuroscience" -- "molecular cardiology"
"neuroscience" -- "astrocytes"
"neuroscience" -- "synaptic physiology"
"neuroscience" -- "immunohistochemistry"
"neuroscience" -- "neural plasticity"
"neuroscience" -- "biomedical engineering"
"neuroscience" -- "neurotoxicity"
"neuroscience" -- "epilepsy"
"neuroscience" -- "vocal learning"
"neuroscience" -- "alzheimer s"
"neuroscience" -- "vision science"
"neuroscience" -- "huntington disease"
"neuroscience" -- "biological psychology"
"neuroscience" -- "body representation"
"neuroscience" -- "brain function"
"neuroscience" -- "glial biology"
"neuroscience" -- "collective decision-making"
"neuroscience" -- "synaptic transmission"
"neuroscience" -- "chronic"
"neuroscience" -- "neural stem cells"
"neuroscience" -- "cellular neurophysiology"
"neuroscience" -- "neurotechnology"
"neuroscience" -- "neuropeptides"
"neuroscience" -- "respiration"
"neuroscience" -- "pharmacology"
"neuroscience" -- "visual system"
"neuroscience" -- "affective disorders"
"neuroscience" -- "fmri"
"neuroscience" -- "stress"
"neuroscience" -- "brain disorders"
"neuroscience" -- "basal ganglia"
"neuroscience" -- "channels"
"neuroscience" -- "pain research"
"neuroscience" -- "molecular cellular biology"
"neuroscience" -- "neurogenetics"
"neuroscience" -- "spinal cord injury"
"neuroscience" -- "sensation"
"neuroscience" -- "alzheimer s disease"
"neuroscience" -- "neuromodulation"
"neuroscience" -- "soft electronics"
"neuroscience" -- "brain development"
"neuroscience" -- "biofeedback"
"neuroscience" -- "sensory physiology"
"neuroscience" -- "pain"
"neuroscience" -- "neurodevelopment"
"neuroscience" -- "synapses"
"neuroscience" -- "lysosomal storage diseases"
"neuroscience" -- "musculoskeletal pain"
"neuroscience" -- "neuropharmacology"
"neuroscience" -- "olfaction"
"neuroscience" -- "spatial memory"
"neuroscience" -- "autism"
"neuroscience" -- "patch clamp"
"neuroscience" -- "hearing"
"neuroscience" -- "clinical neurology"
"neuroscience" -- "purinergic signaling"
"neuroscience" -- "enteric nervous system"
"neuroscience" -- "brain metabolism"
"neuroscience" -- "neuroanatomy"
"neuroscience" -- "neurotrauma"
"neuroscience" -- "neurolaw"
"neuroscience" -- "neurogastroenterology"
"neuroscience" -- "gaba"
"neuroscience" -- "sleep"
"neuroscience" -- "anatomy"
"neuroscience" -- "neuronal development"
"neuroscience" -- "ophthalmology"
"neuroscience" -- "biologie cellulaire"
"neuroscience" -- "traumatic brain injury"
"neuroscience" -- "vision"
"neuroscience" -- "cortex"
"neuroscience" -- "neurological disorders"
"neuroscience" -- "neural circuits"
"neuroscience" -- "zoologie"
"neuroscience" -- "neuropsychiatric disorders"
"neuroscience" -- "neurogenomics"
"neuroscience" -- "laterality"
"neuroscience" -- "cortical circuits"
"neuroscience" -- "pulmonary biology"
"neuroscience" -- "sleep physiology"
"neuroscience" -- "neurogenesis"
"virtualization" -- "cloud computing"
"manet" -- "vanet"
"water treatment" -- "fouling"
"water treatment" -- "disinfection"
"water treatment" -- "advanced oxidation processes"
"water treatment" -- "water chemistry"
"water treatment" -- "membrane separation"
"water treatment" -- "aops"
"water treatment" -- "environmental engineering"
"water treatment" -- "advanced oxidation"
"water treatment" -- "micropollutants"
"water treatment" -- "capacitive deionization"
"water treatment" -- "uv"
"water treatment" -- "desalination"
"water treatment" -- "membrane processes"
"water treatment" -- "ion exchange"
"access control" -- "authority"
"access control" -- "security"
"total synthesis" -- "medicinal chemistry"
"motherhood" -- "pregnancy"
"nuclear weapons" -- "international relations"
"skeletal biology" -- "biological anthropology"
"natural materials" -- "durability"
"escritura" -- "lectura"
"microwave engineering" -- "antennas"
"successful aging" -- "clinical psychology training"
"agrarian change" -- "southeast asia"
"pediatric dentistry" -- "cariology"
"plant traits" -- "climate change"
"statistical methods" -- "psychometrics"
"statistical methods" -- "occupational psychology"
"swarms" -- "artificial intelligence"
"political rhetoric" -- "political communication"
"software agents" -- "multi-agent systems"
"pesquerías" -- "ecología marina"
"pesquerías" -- "matemática aplicada"
"organic electronics" -- "interface engineering"
"organic electronics" -- "organic spintronics"
"organic electronics" -- "flexible sensors"
"organic electronics" -- "oled"
"organic electronics" -- "printed electronics"
"organic electronics" -- "photovoltaic devices"
"organic electronics" -- "organic photonics"
"organic electronics" -- "organic photovoltaics"
"organic electronics" -- "polymer solar cells"
"organic electronics" -- "organic functional materials"
"organic electronics" -- "organic solar cells"
"organic electronics" -- "solar cells"
"organic electronics" -- "organic field-effect transistors"
"organic electronics" -- "conjugated polymers"
"organic electronics" -- "printing"
"organic electronics" -- "ofet"
"effective field theory" -- "gravitational waves"
"microbiology immunology" -- "virology"
"sample preparation" -- "analytical chemistry"
"coalgebra" -- "logic"
"rdf" -- "semantic web"
"microextraction" -- "chromatography"
"conservation science" -- "conservation biology"
"thermoelectric materials" -- "materials science"
"mass spectrometry imaging" -- "mass spectrometry"
"seismic engineering" -- "structural engineering"
"age studies" -- "english literature"
"citizen participation" -- "patient"
"citizen participation" -- "public administration"
"artificial intelligence in education" -- "intelligent tutoring systems"
"engagement" -- "academic motivation"
"optical mems" -- "microfluidics"
"library information science" -- "open access"
"fret" -- "biophysics"
"electronic skin" -- "stretchable electronics"
"cloning" -- "expression"
"expertise" -- "decision making"
"ab initio calculations" -- "materials science"
"biodiesel" -- "biofuels"
"cellular" -- "molecular immunology"
"macroeconomic theory" -- "monetary economics"
"environmental dna" -- "molecular ecology"
"microarray" -- "bioinformatics"
"psychological measurement" -- "education"
"legumes" -- "nitrogen fixation"
"management control" -- "management accounting"
"sustainability assessment" -- "life cycle assessment"
"information studies" -- "library"
"volcanism" -- "geochemistry"
"crispr" -- "phage"
"crispr" -- "genome editing"
"biointerfaces" -- "biomaterials"
"gestão de projetos" -- "bim"
"sociologie" -- "psychologie"
"sociologie" -- "genre"
"brain-machine interfaces" -- "motor neuroscience"
"laser micromachining" -- "heat transfer"
"watersheds" -- "hydrology"
"myanmar" -- "burma"
"myanmar" -- "thailand"
"ultrafast lasers" -- "nonlinear optics"
"ultrafast lasers" -- "x-ray science"
"voting behavior" -- "comparative political behavior"
"sport exercise psychology" -- "occupational health psychology"
"virus-host interactions" -- "virology"
"innovation networks" -- "innovation systems"
"water management" -- "irrigation"
"learning strategies" -- "self-regulated learning"
"topological states" -- "strongly correlated electron systems"
"strategic marketing" -- "international marketing"
"sarcoma" -- "cancer genetics"
"economía social" -- "finanzas"
"economía social" -- "derecho financiero y tributario"
"crowd dynamics" -- "pedestrian dynamics"
"crowd dynamics" -- "modeling"
"child-computer interaction" -- "human-computer interaction"
"multi-objective optimisation" -- "artificial intelligence"
"ckd" -- "nephrology"
"field geology" -- "structural geology"
"aggression" -- "bullying"
"aggression" -- "violence"
"developmental origins of health" -- "disease"
"trace metals" -- "mercury"
"trophic interactions" -- "community ecology"
"wash" -- "international development"
"unsaturated soils" -- "expansive soils"
"unsaturated soils" -- "geotechnical engineering"
"unsaturated soils" -- "soil improvement"
"unsaturated soils" -- "shale"
"biochimica" -- "biologia cellulare"
"biochimica" -- "biologia molecolare"
"biochimica" -- "biotecnologie"
"biochimica" -- "proteomica"
"hdl" -- "vlsi"
"monsoon" -- "climate change"
"digital hardware design" -- "system on chip"
"prebiotic chemistry" -- "origin of life"
"cuba" -- "mexico"
"rational choice theory" -- "law"
"underactuated systems" -- "control"
"knowledge sharing" -- "knowledge management"
"energy-aware computing" -- "embedded systems"
"traditional ecological knowledge" -- "climate change"
"immunoengineering" -- "biomaterials"
"pharmacology" -- "toxicology"
"pharmacology" -- "herbal medicine"
"pharmacology" -- "pharmacy"
"pharmacology" -- "pharmacokinetics"
"pharmacology" -- "g protein-coupled receptors"
"pharmacology" -- "gpcrs"
"behavioral health" -- "co-occurring disorders"
"behavioral health" -- "public health"
"nanofluidics" -- "ferrofluids"
"nanofluidics" -- "microfluidics"
"nanofluidics" -- "micro"
"nanofluidics" -- "thermal energy storage"
"telomerase" -- "telomeres"
"project management" -- "program management"
"project management" -- "project planning"
"project management" -- "construction"
"project management" -- "public-private partnerships"
"second language acquisition" -- "task-based language teaching"
"second language acquisition" -- "language socialization"
"second language acquisition" -- "study abroad"
"second language acquisition" -- "foreign language"
"second language acquisition" -- "psycholinguistics"
"second language acquisition" -- "chinese linguistics"
"second language acquisition" -- "vocabulary"
"second language acquisition" -- "applied linguistics"
"question answering" -- "natural language processing"
"american politics" -- "american political development"
"american politics" -- "presidency"
"american politics" -- "congress"
"american politics" -- "legislative behavior"
"american politics" -- "electoral behavior"
"american politics" -- "bureaucracy"
"responsible conduct of research" -- "research ethics"
"responsible conduct of research" -- "research integrity"
"electronic cigarettes" -- "tobacco"
"mechanical systems" -- "mechanics"
"similarity search" -- "data mining"
"chromosome segregation" -- "cell cycle"
"hot deformation" -- "steel"
"thailand" -- "southeast asia"
"community ecology" -- "island biogeography"
"community ecology" -- "arbuscular mycorrhiza"
"community ecology" -- "pollination ecology"
"community ecology" -- "conservation biology"
"community ecology" -- "grassland ecology"
"community ecology" -- "species interactions"
"community ecology" -- "aquatic invertebrates"
"community ecology" -- "species invasions"
"community ecology" -- "population"
"community ecology" -- "root ecology"
"community ecology" -- "theoretical ecology"
"outreach" -- "remote sensing"
"topological insulators" -- "condensed matter physics"
"particle therapy" -- "medical physics"
"oncogenes" -- "cancer"
"antibiotic resistance" -- "biosafety"
"antibiotic resistance" -- "bacterial genomics"
"antibiotic resistance" -- "staphylococcus aureus"
"antibiotic resistance" -- "microbiology"
"gallium nitride" -- "nanostructures"
"organizational citizenship behavior" -- "leadership"
"archeology" -- "geoscience"
"selective laser melting" -- "additive manufacturing"
"engenharia de alimentos" -- "termodinâmica"
"nacionalismo" -- "ensino de geografia"
"programming models" -- "computer architecture"
"applied macroeconomics" -- "monetary economics"
"ehealth" -- "telemedicine"
"ehealth" -- "health informatics"
"business ethics" -- "stakeholder theory"
"business ethics" -- "ethical decision making"
"marine pollution" -- "environmental chemistry"
"executive control" -- "attention"
"clay" -- "cement"
"human dynamics" -- "network science"
"marine science" -- "oceanography"
"process synthesis" -- "chemical engineering"
"multicast" -- "mobile"
"social network sites" -- "social media"
"older workers" -- "retirement"
"harmonics" -- "power quality"
"model updating" -- "structural dynamics"
"dynamics" -- "vibration"
"dynamics" -- "control"
"dynamics" -- "machining processes"
"convex" -- "optimization"
"convex" -- "nonconvex optimization"
"numerical cognition" -- "cognitive neuroscience"
"oncology" -- "bone marrow transplantation"
"oncology" -- "estrogen receptor"
"oncology" -- "pediatric hematology"
"black feminism" -- "gender"
"birth" -- "public health"
"marine habitat mapping" -- "remote sensing"
"animation" -- "new media art"
"animation" -- "manga"
"animation" -- "computer graphics"
"incentives" -- "compensation"
"xrf" -- "analytical chemistry"
"planet formation" -- "orbital dynamics"
"planet formation" -- "astrophysics"
"planet formation" -- "stars"
"emerging technologies" -- "information literacy"
"speculative design" -- "design"
"quantitative" -- "qualitative"
"material flow analysis" -- "industrial ecology"
"british" -- "irish history"
"spray cooling" -- "heat transfer"
"germ cells" -- "epigenetics"
"surface plasmon resonance" -- "biosensors"
"precambrian geology" -- "tectonics"
"ultrafast science" -- "nonlinear optics"
"public health informatics" -- "biomedical informatics"
"word sense disambiguation" -- "natural language processing"
"social media" -- "user behavior"
"social media" -- "new media"
"social media" -- "data journalism"
"social media" -- "internet studies"
"social media" -- "online communities"
"social media" -- "mobile media"
"social media" -- "digital culture"
"social media" -- "citizen journalism"
"social media" -- "customer engagement"
"social media" -- "digital technologies"
"social media" -- "ebooks"
"social media" -- "mobile technology"
"social media" -- "self-presentation"
"social media" -- "sport media"
"social media" -- "facebook"
"social media" -- "internet"
"social media" -- "online journalism"
"social media" -- "digital media"
"social media" -- "knowledge mobilization"
"social media" -- "digital journalism"
"social media" -- "mobile commerce"
"social media" -- "social networks"
"social media" -- "political participation"
"social media" -- "digital"
"social media" -- "information society"
"social media" -- "emergency management"
"coasts" -- "geomorphology"
"innovation diffusion" -- "consumer choice"
"comunicação" -- "tecnologia da informação"
"comunicação" -- "fotografia"
"classroom interaction" -- "conversation analysis"
"ocean governance" -- "fisheries"
"myogenesis" -- "stem cells"
"quantum trajectories" -- "nonadiabatic dynamics"
"quantum trajectories" -- "quantum probability"
"hydroclimatology" -- "hydrology"
"blood flow" -- "mri"
"m-commerce" -- "e-commerce"
"fantasy" -- "fandom"
"ssvep" -- "attention"
"gastrointestinal motility" -- "glucose"
"insect-plant interactions" -- "entomology"
"high energy physics" -- "particle physics"
"high energy physics" -- "elementary particle physics"
"laboratory medicine" -- "clinical chemistry"
"atmospheric chemistry" -- "instrument development"
"atmospheric chemistry" -- "air quality"
"atmospheric chemistry" -- "ozone"
"atmospheric chemistry" -- "satellite remote sensing"
"atmospheric chemistry" -- "biosphere-atmosphere interactions"
"atmospheric chemistry" -- "aerosols"
"atmospheric chemistry" -- "aerosol chemistry"
"graph transformation" -- "model transformation"
"education policy" -- "sociology of education"
"education policy" -- "education finance"
"education policy" -- "education law"
"education policy" -- "achievement gap"
"education policy" -- "school choice"
"education policy" -- "school leadership"
"education policy" -- "higher education"
"education policy" -- "politics of education"
"education policy" -- "school reform"
"infertility" -- "endometriosis"
"infertility" -- "reproductive endocrinology"
"infertility" -- "reproductive biology"
"infertility" -- "sexual medicine"
"infertility" -- "pcos"
"industrial robotics" -- "digital manufacturing"
"salt tectonics" -- "structural geology"
"gene therapy" -- "viral vectors"
"gene therapy" -- "adenovirus"
"gene therapy" -- "gene editing"
"cam" -- "cnc"
"cam" -- "cad"
"cam" -- "manufacturing technology"
"theoretical physics" -- "condensed matter physics"
"theoretical physics" -- "subatomic physics"
"theoretical physics" -- "quark-gluon plasma"
"theoretical physics" -- "soft matter theory"
"theoretical physics" -- "history of physics"
"theoretical physics" -- "strings"
"theoretical physics" -- "quantum many-body theory"
"pat" -- "chemometrics"
"diabetic nephropathy" -- "type 1 diabetes"
"phase noise" -- "oscillations"
"risk" -- "protective factors"
"risk" -- "uncertainty"
"risk" -- "crisis"
"risk" -- "uncertainty management"
"risk" -- "resilience"
"nanoelectronics" -- "nanoelectromechanical systems"
"nanoelectronics" -- "strain engineering"
"nanoelectronics" -- "microelectronics"
"nanoelectronics" -- "tunnel fets"
"dss" -- "erp"
"theology" -- "philosophy"
"developmental biology" -- "reproductive biology"
"developmental biology" -- "developmental neurobiology"
"developmental biology" -- "skeletal development"
"developmental biology" -- "genetics"
"developmental biology" -- "comparative endocrinology"
"developmental biology" -- "embryology"
"developmental biology" -- "xenopus"
"developmental biology" -- "evo-devo"
"developmental biology" -- "agricultural biotechnology"
"developmental biology" -- "morphogenesis"
"developmental biology" -- "embryogenesis"
"developmental biology" -- "zebrafish"
"developmental biology" -- "stem cell biology"
"developmental biology" -- "wnt signaling"
"consumption" -- "gender"
"consumption" -- "savings"
"diabetology" -- "endocrinology"
"systems genetics" -- "bioinformatics"
"speech science" -- "phonetics"
"chemical communication" -- "neuroethology"
"tourism marketing" -- "e-marketing"
"tourism marketing" -- "consumer behaviour"
"tourism marketing" -- "tourist behavior"
"fsi" -- "cfd"
"environmental fluid mechanics" -- "physical limnology"
"modified gravity" -- "cosmology"
"personality psychology" -- "social"
"biomedical microdevices" -- "microfluidics"
"md simulation" -- "dft"
"migration research" -- "visual sociology"
"infrastructure resilience" -- "decision support"
"biomolecular modeling" -- "structural bioinformatics"
"shareholder activism" -- "corporate governance"
"digital image processing" -- "computer vision"
"physical therapy" -- "rehabilitation"
"administrative law" -- "constitutional law"
"administrative law" -- "legislation"
"infrastructure systems" -- "sustainability"
"design for sustainability" -- "ecodesign"
"mineral deposits" -- "geochemistry"
"noise" -- "vibration"
"social choice" -- "voting theory"
"social choice" -- "game theory"
"general practice" -- "primary care"
"hrm" -- "employment relations"
"hrm" -- "ob"
"hrm" -- "ihrm"
"metabolomics" -- "metabolic profiling"
"metabolomics" -- "lc-ms"
"metabolomics" -- "metabonomics"
"metabolomics" -- "mass spectrometry"
"conservation psychology" -- "environmental education"
"pathogen genomics" -- "bioinformatics"
"congress" -- "separation of powers"
"wildlife management" -- "conservation biology"
"lattice boltzmann method" -- "multiphase flow"
"stretchable electronics" -- "wearable electronics"
"cardiac physiology" -- "cell signaling"
"dor" -- "farmacologia"
"help-seeking" -- "suicide"
"physiotherapy" -- "rehabilitation"
"computational anatomy" -- "shape analysis"
"condensed matter" -- "materials physics"
"smoking" -- "alcohol"
"lmi" -- "switched systems"
"positron emission tomography" -- "nuclear medicine"
"hydraulic structures" -- "hydraulics"
"físico-química" -- "química"
"físico-química" -- "química teórica"
"writing instruction" -- "writing assessment"
"mathematical neuroscience" -- "dynamical systems"
"biomedical informatics" -- "ehr"
"biomedical informatics" -- "imaging informatics"
"biomedical informatics" -- "clinical research informatics"
"biomedical informatics" -- "electronic health records"
"didáctica de la lengua y la literatura" -- "literatura infantil y juvenil"
"integrative biology" -- "evolutionary biology"
"microfluidics" -- "lab-on-a-chip devices"
"microfluidics" -- "electrowetting"
"microfluidics" -- "droplets"
"microfluidics" -- "blood"
"microfluidics" -- "biopreservation"
"microfluidics" -- "single cell"
"microfluidics" -- "electrophoresis"
"microfluidics" -- "dielectrophoresis"
"microfluidics" -- "electroporation"
"microfluidics" -- "surface acoustic waves"
"microfluidics" -- "microdevices"
"microfluidics" -- "cryobiology"
"microfluidics" -- "biomedical physics"
"microfluidics" -- "lab-on-a-chip"
"microfluidics" -- "biomems"
"microfluidics" -- "cancer metastasis"
"microfluidics" -- "liquid metal"
"grapevine" -- "plant ecophysiology"
"figurative language" -- "pragmatics"
"genome analysis" -- "bioinformatics"
"bayesian" -- "statistics"
"bayesian" -- "numerical integration"
"ampk" -- "metabolism"
"surface-enhanced raman spectroscopy" -- "sers"
"knowledge discovery in databases" -- "data mining"
"pharmaceutical industry" -- "regulation"
"ambidexterity" -- "innovation"
"medical psychology" -- "health psychology"
"mining engineering" -- "rock mechanics"
"community sociology" -- "urban"
"environmental geophysics" -- "hydrogeophysics"
"knee osteoarthritis" -- "biomechanics"
"bestuurskunde" -- "public administration"
"gestão da informação" -- "segurança da informação"
"theoretical condensed matter physics" -- "statistical mechanics"
"architectural education" -- "architectural design"
"interpersonal" -- "structural equation modeling"
"qcd" -- "hadron physics"
"light trapping" -- "photovoltaics"
"next-gen sequencing" -- "bioinformatics"
"turismo" -- "sistema financiero"
"turismo" -- "inclusão social"
"turismo" -- "urbanismo"
"biosynthesis" -- "natural products"
"triz" -- "design creativity"
"triz" -- "kaemart"
"medical diagnostics" -- "biosensors"
"analog electronics" -- "power electronics"
"analog electronics" -- "rf electronics"
"ecological informatics" -- "conservation biology"
"leadership development" -- "leadership"
"ingeniería del software" -- "redes sociales"
"stream ecology" -- "conservation biology"
"protein structure prediction" -- "bioinformatics"
"molecular computing" -- "dna nanotechnology"
"spacecraft" -- "aircraft"
"continuous delivery" -- "cloud computing"
"chirurgia generale" -- "medicina legale"
"regional innovation systems" -- "economic geography"
"world wide web" -- "semantic web"
"forensic anthropology" -- "physical anthropology"
"forensic anthropology" -- "biological anthropology"
"explanation" -- "probability"
"wireless ad hoc" -- "sensor networks"
"microbial evolution" -- "microbial ecology"
"reentry" -- "corrections"
"arts management" -- "aesthetics"
"design history" -- "gender"
"network monitoring" -- "computer networks"
"random matrices" -- "free probability"
"palynology" -- "palaeobotany"
"palynology" -- "quaternary environments"
"palynology" -- "vegetation history"
"aerospace" -- "control"
"aerospace" -- "aeronautics"
"secondhand smoke" -- "tobacco control"
"cardiac" -- "surgery"
"ict for development" -- "health informatics"
"surface coatings" -- "materials science"
"electrochemical" -- "corrosion"
"power plants" -- "energy"
"soft condensed matter physics" -- "biophysics"
"impedance" -- "electrochemistry"
"lyme disease" -- "infectious diseases"
"vibration energy harvesting" -- "nonlinear dynamics"
"qualitative research methodology" -- "digital health"
"cellular biomechanics" -- "biophysics"
"hybrid electric vehicles" -- "power electronics"
"smoothing" -- "attitude determination"
"human interface" -- "virtual reality"
"blue carbon" -- "biogeochemistry"
"tropical forest ecology" -- "conservation biology"
"galactic structure" -- "astronomy"
"the novel" -- "literature"
"fiscal policy" -- "macroeconomics"
"gerontología" -- "fisioterapia"
"craniofacial development" -- "morphometrics"
"african studies" -- "african literature"
"african studies" -- "anthropology"
"chirurgia" -- "gastroenterologia"
"computer animation" -- "computer graphics"
"history of education" -- "teacher education"
"bioproducts" -- "biofuels"
"auctions" -- "industrial organization"
"auctions" -- "asymmetric information"
"biogeografia" -- "entomologia"
"biogeografia" -- "botanika"
"kinases" -- "biochemistry"
"traumatic brain injury" -- "concussion"
"tobacco cessation" -- "public health"
"media effects" -- "media psychology"
"media effects" -- "health communication"
"media effects" -- "political communication"
"media effects" -- "entertainment"
"media effects" -- "online news"
"philosophy of medicine" -- "bioethics"
"protein-protein interactions" -- "bioinformatics"
"biosystems" -- "control"
"arachnology" -- "behavioral ecology"
"sustainable engineering" -- "industrial ecology"
"fetal medicine" -- "obstetrics"
"mri" -- "diffusion imaging"
"mri" -- "radiology"
"mri" -- "flow"
"mri" -- "pet"
"mri" -- "medical imaging"
"mri" -- "focused ultrasound"
"mri" -- "mr spectroscopy"
"mri" -- "diffusion"
"waveguides" -- "photonic integration"
"waveguides" -- "photonics"
"virtual reality" -- "virtual environments"
"virtual reality" -- "natural user interfaces"
"virtual reality" -- "telepresence"
"virtual reality" -- "computer graphics"
"virtual reality" -- "3d interaction"
"virtual reality" -- "collaborative design"
"virtual reality" -- "avatars"
"virtual reality" -- "mixed reality"
"virtual reality" -- "surgical simulation"
"virtual reality" -- "virtual humans"
"virtual reality" -- "computer assisted surgery"
"theoretical particle physics" -- "cosmology"
"data warehouse" -- "databases"
"africa" -- "tanzania"
"africa" -- "kenya"
"africa" -- "development policy"
"water quality monitoring" -- "modeling"
"water quality monitoring" -- "water quality management"
"biostatistics" -- "clinical trials"
"biostatistics" -- "missing data"
"biostatistics" -- "epidemiology"
"biostatistics" -- "longitudinal studies"
"biostatistics" -- "bioinformatics"
"biostatistics" -- "survival"
"biostatistics" -- "longitudinal data"
"biostatistics" -- "biomedical research"
"biostatistics" -- "veterinary epidemiology"
"acessibilidade" -- "inclusão social"
"ngs" -- "bioinformatics"
"shorebirds" -- "migration ecology"
"consumer culture theory" -- "marketing"
"phytomedicine" -- "angiogenesis"
"zinc oxide" -- "nanotechnology"
"indigenous rights" -- "multiculturalism"
"synchrotron radiation" -- "structural biology"
"protein-nucleic acid interactions" -- "computational immunology"
"tobacco control" -- "public health"
