"dtn" -- "networks"
"chemical vapor deposition" -- "graphene"
"separation processes" -- "wastewater treatment"
"pump" -- "cavitation"
"traffic simulation" -- "intelligent transportation systems"
"social isolation" -- "loneliness"
"thermal ablation" -- "image-guided therapy"
"thermal ablation" -- "hyperthermia"
"travel behaviour" -- "transportation"
"crop improvement" -- "plant stress physiology"
"nutrition science" -- "cancer"
"acoustic modeling" -- "speech recognition"
"veterinary science" -- "microbiology"
"public opinion" -- "elections"
"public opinion" -- "voting behaviour"
"public opinion" -- "political behavior"
"public opinion" -- "state politics"
"public opinion" -- "survey research methods"
"public opinion" -- "political behaviour"
"public opinion" -- "voting behavior"
"public opinion" -- "political communication"
"public opinion" -- "american politics"
"public opinion" -- "mass media"
"public opinion" -- "political psychology"
"mrna" -- "bioorganic chemistry"
"mhealth" -- "digital health"
"mhealth" -- "ehealth"
"variable selection" -- "machine learning"
"commodities" -- "asset pricing"
"fuels" -- "energy"
"parameter estimation" -- "system identification"
"latin american politics" -- "comparative politics"
"stanchbioch" -- "stawt4yphd"
"green roofs" -- "green infrastructure"
"ecological networks" -- "community ecology"
"ecological networks" -- "natural resource governance"
"multiphysics" -- "computational mechanics"
"language technology" -- "natural language processing"
"astrofísica" -- "física"
"astrofísica" -- "astronomia"
"international affairs" -- "foreign policy"
"inverse problems" -- "regularization"
"inverse problems" -- "computational geophysics"
"inverse problems" -- "image processing"
"inverse problems" -- "electrical impedance tomography"
"inverse problems" -- "tomography"
"inverse problems" -- "uncertainty quantification"
"family therapy" -- "marriage"
"graph algorithms" -- "graph theory"
"programming language theory" -- "computational logic"
"computational molecular biology" -- "bioinformatics"
"online participation" -- "social media"
"vascular access" -- "dialysis"
"enterprise systems" -- "information systems"
"mathématiques appliquées" -- "médecine"
"high voltage" -- "insulation"
"high voltage" -- "power systems"
"digital media studies" -- "technical communication"
"research data management" -- "digital preservation"
"peer support" -- "diabetes"
"biomolecules" -- "membranes"
"enfermería" -- "investigación cualitativa"
"enfermería" -- "violencia de género"
"enfermería" -- "medicina"
"enfermería" -- "metodología de investigación"
"enfermería" -- "enfermería comunitaria"
"trade unions" -- "employment relations"
"magnetosphere" -- "solar wind"
"magnetosphere" -- "space plasma physics"
"magnetosphere" -- "ionosphere"
"xas" -- "xrd"
"insulin" -- "diabetes"
"minimally invasive" -- "neurosurgery"
"ocular drug delivery" -- "nanomedicine"
"ionic liquids" -- "deep eutectic solvents"
"ionic liquids" -- "catalysis"
"ionic liquids" -- "molten salts"
"ionic liquids" -- "chemical thermodynamics"
"jewish history" -- "media archaeology"
"socially assistive robotics" -- "artificial intelligence"
"health services" -- "public health"
