"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) petersi 7639"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) ouachitae 7637"
"Procambarus (Pennides) 7348" -- "Procambarus 6720"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) versutus 7644"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) echinatus 7631"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) roberti 7641"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) dupratzi 7630"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) suttkusi 7643"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) elegans 7632"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) spiculifer 7642"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) natchitochae 7636"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) ablusus 7628"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) clemmeri 7629"
"Procambarus (Pennides) 7348" -- "Procambarus (Pennides) lagniappe 7634"
"Haplobothynus 51578" -- "South American series 51554"
"Triodia mlokossevitschi 28341" -- "Triodia 11814"
"section Parrya 27110" -- "subgenus Strobus 21639"
"section Parrya 27110" -- "subsection Cembroides 27769"
"section Parrya 27110" -- "None 27113"
"Peganaceae 21271" -- "Sapindales 21051"
"Pipunculus minutulus 54831" -- "Pipunculus 54641"
"None 68231" -- "None 68216"
"None 68231" -- "Prionopidae 68233"
"None 68231" -- "Vangidae 68232"
"Metridium praetexta 18609" -- "Phyllactis 18384"
"Phlyctenactis retifera 18604" -- "Phlyctenactis 18370"
"None 50800" -- "Tupaia 16825"
"None 50800" -- "None 50799"
"None 50800" -- "Urogale everetti 16828"
"Nebalia antarctica 6260" -- "None 6259"
"Stolonis tapiai 67852" -- "Stolonis 51491"
"Omma pilosum 29723" -- "Omma 9042"
"Urticinopsis crassa 18639" -- "Urticinopsis 18368"
"Morion cucujoides 28953" -- "Morion 28918"
"Leptodactylinae 17158" -- "None 17161"
"Leptodactylinae 17158" -- "'Leptodactylidae' 16943"
"Stemonuraceae 27173" -- "None 27174"
"Nebrioferonia strigitarsis 67783" -- "Nebrioferonia 51489"
"Ottoceros 52371" -- "Antilocapridae 52358"
"Oryzorictes 60266" -- "Oryzorictes talpoides 60269"
"Oryzorictes 60266" -- "Oryzorictinae 60248"
"Oryzorictes 60266" -- "Oryzorictes hova 60268"
"Oryzorictes 60266" -- "Oryzorictes tetradactylus 60270"
"Pelegrina helenae 5029" -- "arizonensis group 5027"
"None 57043" -- "None 57041"
"None 57043" -- "Nordus batesi 57045"
"None 57043" -- "Nordus amazonicus 57044"
"Myrmarachne manducator 4840" -- "Myrmarachne 3120"
"Rhinopomatidae 16128" -- "Rhinopomatoidea 16090"
"None 6969" -- "None 6967"
"None 66418" -- "Rhyacotritonidae 15450"
"None 66418" -- "None 15438"
"None 66418" -- "None 15439"
"None 733" -- "None 731"
"None 733" -- "None 735"
"Pompilidae 11238" -- "None 11236"
"None 77745" -- "None 77739"
"Oudaimosister 9329" -- "Hetaeriinae 9394"
"Octopoda 20083" -- "Cirrata 20086"
"Octopoda 20083" -- "Octopodiformes 19405"
"Octopoda 20083" -- "Incirrata 20087"
"Pseudicius solomonensis 5522" -- "Old World 5464"
"Kaveinga 2238" -- "Rhysodina 1795"
"Kaveinga 2238" -- "Kaveinga (Kaveinga s. str.) 2250"
"Kaveinga 2238" -- "Kaveinga (Angekiva) 2247"
"Kaveinga 2238" -- "Kaveinga (Ingevaka) 2248"
"Kaveinga 2238" -- "Kaveinga (Vakeinga) 2249"
"Pareledone charcoti 20259" -- "Pareledone 20245"
"None 22191" -- "Mutillinae 22186"
"None 22191" -- "None 22190"
"None 22191" -- "Myrmillinae 22185"
"Symbiopsocus 35177" -- "Ptyctini 50650"
"Phelliactis hertwigi 18148" -- "Phelliactis 18127"
"Carvilia 12819" -- "Rivetinini 53080"
"Procambarus (Ortmannicus) horsti 7568" -- "Procambarus (Ortmannicus) 7346"
"None 9392" -- "Histerini 9393"
"None 9392" -- "Hetaeriinae 9394"
"None 9392" -- "Histerinae 9390"
"Hyperoartia 14831" -- "Vertebrata 14829"
"Hyperoartia 14831" -- "Node 1 15908"
"Araneomorphae 2642" -- "None 2640"
"Araneomorphae 2642" -- "None 2645"
"Nepenthes 59582" -- "None 20980"
"Phrynoponera heteroda 26693" -- "Phrynoponera 22416"
"Titanattus paganus 5921" -- "Titanattus 3004"
"Pickfordiateuthis species A 19900" -- "Pickfordiateuthis 19861"
"Pseudocleobis 67214" -- "Ammotrechinae 67203"
"Recurvidris williami 25966" -- "Recurvidris 22750"
"Mesocupes 29776" -- "Cupedidae 8999"
"Procubitermes 11619" -- "Cubitermes group 11597"
"None 29276" -- "None 29273"
"None 29276" -- "None 66364"
"None 29276" -- "Semaeomyia 25800"
"Uroteuthis sibogae 57907" -- "Uroteuthis (Photololigo) 19912"
"Tigridia acesta 70345" -- "None 70343"
"Pellenes allegri 5098" -- "Pellenes 3071"
"Planctosphaeridae 19337" -- "Hemichordata 2498"
"Rhaebolestes 175" -- "Melisoderina 161"
"Trachymyrmex 22500" -- "None 22695"
"Trachymyrmex 22500" -- "Trachymyrmex agudensis 25574"
"None 77735" -- "Eunica 70457"
"Microsilphinae 9766" -- "Omaliinae group 9759"
"Thorelliola 2975" -- "None 2923"
"Peptococcus 59759" -- "Peptococcaceae 59751"
"Perlini 14244" -- "None 14266"
"Perlini 14244" -- "None 14245"
"Perlini 14244" -- "Perlinae 14243"
