"geomicrobiology" -- "biogeochemistry"
"coastal engineering" -- "ocean engineering"
"coastal engineering" -- "water waves"
"engineering geology" -- "geotechnical engineering"
"radiology" -- "neuroradiology"
"men" -- "masculinity"
"applied game theory" -- "industrial organization"
"histology" -- "anatomy"
"storage" -- "energy conversion"
"storage" -- "carbon capture"
"venom" -- "proteomics"
"venom" -- "toxinology"
"philosophy of mind" -- "metaphysics"
"philosophy of mind" -- "philosophy of cognitive science"
"philosophy of mind" -- "action theory"
"philosophy of mind" -- "philosophy of action"
"philosophy of mind" -- "experimental philosophy"
"philosophy of mind" -- "cognitive science"
"philosophy of mind" -- "aesthetics"
"philosophy of mind" -- "free will"
"information extraction" -- "question answering"
"computational biology" -- "genomics"
"computational biology" -- "regulatory genomics"
"computational biology" -- "cancer genomics"
"lithium ion batteries" -- "lithium sulfur batteries"
"lithium ion batteries" -- "supercapacitors"
"diffusion mri" -- "brain connectivity"
"diffusion mri" -- "tractography"
"siv" -- "hiv"
"foundations of mathematics" -- "logic"
"development" -- "growth"
"development" -- "africa"
"fmri" -- "neuroimaging"
"fmri" -- "dti"
"fmri" -- "connectivity"
"drosophila" -- "neurogenetics"
"computer networks" -- "network measurement"
"computer networks" -- "network monitoring"
"computer networks" -- "software defined networking"
"computer networks" -- "computer communications"
"computer networks" -- "internet measurement"
"computer networks" -- "routing"
"curriculum" -- "pedagogy"
"curriculum" -- "teacher education"
"earnings management" -- "corporate governance"
"nursing" -- "research"
"nursing" -- "palliative care"
"nursing" -- "knowledge translation"
"nursing" -- "nursing education"
"nursing" -- "midwifery"
"humanoid robotics" -- "robotics"
"philosophy of art" -- "aesthetics"
"microbubbles" -- "ultrasound"
"nationalism" -- "ethnicity"
"geomechanics" -- "rock mechanics"
"geomechanics" -- "geotechnical engineering"
"geomechanics" -- "reservoir simulation"
"software testing" -- "software engineering"
"software testing" -- "software analysis"
"image segmentation" -- "image registration"
"networks" -- "wireless"
"networks" -- "systems"
"networks" -- "qos"
"networks" -- "security"
"prosthetics" -- "orthotics"
"prosthetics" -- "biomechanics"
"photocatalysis" -- "water splitting"
"operations" -- "supply chain management"
"sexuality" -- "gender"
"sexuality" -- "reproductive health"
"sexuality" -- "sex work"
"swine" -- "isu-vdpam"
"women s health" -- "reproductive health"
"women s health" -- "midwifery"
"japan" -- "east asia"
"heterogeneous architectures" -- "computer architecture"
"fisheries" -- "population dynamics"
"fisheries" -- "marine protected areas"
"fisheries" -- "fish ecology"
"fisheries" -- "marine conservation"
"fisheries" -- "marine ecology"
"representation theory" -- "algebraic combinatorics"
"representation theory" -- "lie algebras"
"representation theory" -- "algebra"
"representation theory" -- "homological algebra"
"population" -- "community ecology"
"chemical physics" -- "astrochemistry"
"locomotion" -- "biomechanics"
"locomotion" -- "neuromechanics"
"data visualization" -- "visual analytics"
"aerospace" -- "structures"
"process monitoring" -- "process systems engineering"
"process monitoring" -- "process control"
"continuum mechanics" -- "elasticity"
"cognitive control" -- "inhibition"
"cognitive control" -- "attention"
"electric vehicles" -- "power electronics"
"user experience" -- "interaction design"
"user experience" -- "usability"
"ocean engineering" -- "coastal"
"ocean engineering" -- "hydrodynamics"
"actuators" -- "sensors"
"actuators" -- "piezoelectric"
"biometrics" -- "image processing"
"biometrics" -- "iris recognition"
"biometrics" -- "computer vision"
"biometrics" -- "pattern recognition"
"biometrics" -- "face recognition"
"silicene" -- "graphene"
"conservation biology" -- "disease ecology"
"conservation biology" -- "herpetology"
"conservation biology" -- "amphibians"
"conservation biology" -- "road ecology"
"conservation biology" -- "spatial ecology"
"conservation biology" -- "restoration ecology"
"conservation biology" -- "population ecology"
"conservation biology" -- "habitat fragmentation"
"conservation biology" -- "landscape ecology"
"conservation biology" -- "ecological modelling"
"conservation biology" -- "bats"
"conservation biology" -- "ecology"
"conservation biology" -- "wildlife management"
"conservation biology" -- "endangered species"
"functional programming" -- "generic programming"
"functional programming" -- "domain-specific languages"
"theoretical chemistry" -- "quantum chemistry"
"theoretical chemistry" -- "quantum dynamics"
"smru" -- "soi-ustan"
"smru" -- "marine mammals"
"spatial databases" -- "spatial data mining"
"optical communications" -- "photonics"
"optical communications" -- "digital signal processing"
"optical communications" -- "microwave photonics"
"concrete" -- "building materials"
"concrete" -- "frp"
"concrete" -- "masonry"
"concrete" -- "cement"
"concrete" -- "durability"
"concrete" -- "pavement"
"concrete" -- "structures"
"relationship marketing" -- "marketing strategy"
"relationship marketing" -- "services marketing"
"echocardiography" -- "cardiology"
"resuscitation" -- "critical care"
"resuscitation" -- "emergency medicine"
"hydrogen energy" -- "fuel cells"
"psychometrics" -- "factor analysis"
"psychometrics" -- "quantitative psychology"
"psychometrics" -- "measurement"
"sti" -- "hiv"
"cardiology" -- "arrhythmia"
"cardiology" -- "heart failure"
"cardiology" -- "internal medicine"
"radiotherapy" -- "medical physics"
"digital libraries" -- "digital archives"
"digital libraries" -- "digital preservation"
"digital libraries" -- "metadata"
"digital libraries" -- "digital humanities"
"polymer physics" -- "soft matter"
"mathematical physics" -- "spectral theory"
"mathematical physics" -- "differential geometry"
"mathematical physics" -- "noncommutative geometry"
"mathematical physics" -- "gauge theory"
"biofuels" -- "bioprocessing"
"biofuels" -- "algae"
"biofuels" -- "microalgae"
"biofuels" -- "bioproducts"
"zooarchaeology" -- "taphonomy"
"zooarchaeology" -- "environmental archaeology"
"derivatives" -- "asset pricing"
"derivatives" -- "credit risk"
"motion planning" -- "robotics"
"motion planning" -- "manipulation"
"environmental change" -- "geomorphology"
"adhesion" -- "friction"
"adhesion" -- "wetting"
"bioinformatics" -- "immunoinformatics"
"bioinformatics" -- "next generation sequencing"
"bioinformatics" -- "rna-seq"
"bioinformatics" -- "ngs"
"damage mechanics" -- "fracture mechanics"
"neural coding" -- "computational neuroscience"
"neural coding" -- "vision"
"renewable energy" -- "energy efficiency"
"renewable energy" -- "power electronics"
"self-regulation" -- "motivation"
"self-regulation" -- "self-control"
"insulin resistance" -- "type 2 diabetes"
"social marketing" -- "behaviour change"
"oncology" -- "pathology"
"oncology" -- "hematology"
"oncology" -- "immunology"
"oncology" -- "bone marrow transplantation"
"domestic violence" -- "intimate partner violence"
"corpus linguistics" -- "terminology"
"corpus linguistics" -- "academic writing"
"corpus linguistics" -- "translation studies"
"corpus linguistics" -- "english linguistics"
"corpus linguistics" -- "discourse analysis"
"corpus linguistics" -- "cognitive linguistics"
"sleep" -- "memory"
"political ecology" -- "environmental justice"
"political ecology" -- "environmental anthropology"
"political ecology" -- "science studies"
"political ecology" -- "biodiversity conservation"
"political ecology" -- "pastoralism"
"immunodeficiency" -- "immunology"
"outcomes research" -- "pharmacoeconomics"
"ecology" -- "ecophysiology"
"ecology" -- "ants"
"ecology" -- "entomology"
"ecology" -- "dispersal"
"ecology" -- "conservation"
"ecology" -- "life history"
"ecology" -- "behaviour"
"ecology" -- "marine biology"
"ecology" -- "biodiversity"
"theory" -- "architectural history"
"social justice" -- "equity"
"structural optimization" -- "topology optimization"
"structural optimization" -- "multidisciplinary design optimization"
"bpm@qut" -- "business process management"
"organometallic chemistry" -- "catalysis"
"bitumen" -- "asphalt"
"mathematics" -- "physics"
"environmental accounting" -- "social"
"surveying" -- "geomatics"
"marine biology" -- "phycology"
"marine biology" -- "marine ecology"
"dissemination" -- "implementation science"
"international" -- "comparative education"
"dopamine" -- "serotonin"
"program comprehension" -- "software maintenance"
"program comprehension" -- "software visualization"
"pharmacy" -- "pharmacoepidemiology"
"er stress" -- "diabetes"
"er stress" -- "autophagy"
"psoriasis" -- "dermatology"
"gesture recognition" -- "computer vision"
"bargaining" -- "game theory"
"digital marketing" -- "branding"
"internal medicine" -- "nephrology"
"nanoparticles" -- "drug delivery"
"nanoparticles" -- "micelles"
"nanoparticles" -- "microparticles"
"differential geometry" -- "poisson geometry"
"atomic" -- "molecular"
"atomic" -- "optical physics"
"materials processing" -- "manufacturing"
"extremophiles" -- "microbial ecology"
"mitigation" -- "adaptation"
"estimation" -- "detection"
"estimation" -- "control"
"networked control systems" -- "time-delay systems"
"early childhood" -- "child development"
"microbial oceanography" -- "microbial ecology"
"ipos" -- "corporate finance"
"agriculture" -- "food"
"agriculture" -- "rural development"
"agriculture" -- "soil biology"
"agriculture" -- "food security"
"soft robotics" -- "smart materials"
"soft robotics" -- "bio-inspired robotics"
"game theory" -- "experimental economics"
"game theory" -- "microeconomic theory"
"game theory" -- "microeconomics"
"game theory" -- "social choice"
"game theory" -- "economic theory"
"segmentation" -- "registration"
"electromagnetics" -- "antennas"
"electromagnetics" -- "radar"
"heart failure" -- "heart transplantation"
"top management teams" -- "corporate governance"
"water splitting" -- "artificial photosynthesis"
"environmental science" -- "soil science"
"academic writing" -- "eap"
"m-learning" -- "e-learning"
"signal transduction" -- "protein kinases"
"senescence" -- "aging"
"nitrogen" -- "phosphorus"
"nitrogen" -- "biogeochemistry"
"nitrogen" -- "carbon"
"inflammatory bowel disease" -- "crohn s disease"
"inflammatory bowel disease" -- "mucosal immunology"
"heat" -- "refrigeration"
"interpreting studies" -- "translation studies"
"employment relations" -- "human resource management"
"employment relations" -- "sociology of work"
"biofluids" -- "fluid mechanics"
"vertebrate paleontology" -- "paleobiology"
"borderline personality disorder" -- "emotion regulation"
"system dynamics" -- "systems thinking"
"system dynamics" -- "control"
"quorum sensing" -- "biofilms"
"participatory design" -- "interaction design"
"metabolism" -- "cholesterol"
"metabolism" -- "diabetes"
"implementation science" -- "knowledge translation"
"nanotechnology" -- "materials science"
"dietetics" -- "nutrition"
"family" -- "work"
"family" -- "children"
"family" -- "inequality"
"family" -- "marriage"
"technology transfer" -- "innovation"
"video coding" -- "imaging"
"video coding" -- "visual search"
"turbocharging" -- "internal combustion engines"
"didáctica" -- "educación"
"algebraic statistics" -- "combinatorics"
"drug safety" -- "pharmacoepidemiology"
"mutualism" -- "symbiosis"
"urban" -- "regional studies"
"urban" -- "architecture"
"urban" -- "infrastructure"
"emerging markets" -- "international business"
"leisure" -- "tourism"
"metabolic flux analysis" -- "metabolic engineering"
"differential equations" -- "mathematical biology"
"discrete choice models" -- "transportation"
"model predictive control" -- "nonlinear systems"
"model predictive control" -- "process control"
"model predictive control" -- "robust control"
"architecture" -- "design"
"architecture" -- "lighting"
"architecture" -- "architectural design"
"architecture" -- "urban design"
"architecture" -- "space syntax"
"architecture" -- "computational design"
"selection" -- "personality"
"online teaching" -- "learning"
"stars" -- "planet formation"
"fracture mechanics" -- "boundary element method"
"fracture mechanics" -- "fatigue"
"fracture mechanics" -- "elasticity"
"fracture mechanics" -- "finite element analysis"
"magnetic resonance imaging" -- "image reconstruction"
"magnetic resonance imaging" -- "functional mri"
"process control" -- "process optimization"
"process control" -- "process modeling"
"hyperspectral imaging" -- "chemometrics"
"apoptosis" -- "autophagy"
"computational fluid dynamics" -- "multiphase flow"
"computational fluid dynamics" -- "hemodynamics"
"volcano seismology" -- "seismology"
"educación matemática" -- "mathematics education"
"educación matemática" -- "educación estadística"
"online algorithms" -- "approximation algorithms"
"motion analysis" -- "biomechanics"
"queueing theory" -- "stochastic modeling"
"personality psychology" -- "social"
"paleobiology" -- "macroevolution"
"meiosis" -- "dna repair"
"meiosis" -- "chromosome biology"
"resilience" -- "vulnerability"
"resilience" -- "risk"
"resilience" -- "social-ecological systems"
"quantum simulation" -- "cold atoms"
"cloud" -- "climate"
"macrophages" -- "monocyte"
"macrophages" -- "neutrophils"
"macrophages" -- "atherosclerosis"
"aerodynamics" -- "flow control"
"aerodynamics" -- "turbomachinery"
"aerodynamics" -- "wind turbines"
"aerodynamics" -- "aeroacoustics"
"aerodynamics" -- "aerospace engineering"
"aerodynamics" -- "fluid mechanics"
"algebraic topology" -- "geometric topology"
"algebraic topology" -- "homotopy theory"
"fault mechanics" -- "structural geology"
"cosmochemistry" -- "planetary science"
"cosmochemistry" -- "geochemistry"
"aristotle" -- "ancient philosophy"
"decision" -- "risk analysis"
"new venture creation" -- "entrepreneurship"
"software evolution" -- "software engineering"
"laser physics" -- "nonlinear optics"
"plant physiology" -- "abiotic stress"
"plant physiology" -- "horticulture"
"plant physiology" -- "photosynthesis"
"plant physiology" -- "plant biochemistry"
"numerical pdes" -- "numerical analysis"
"neuroplasticity" -- "pain"
"proton therapy" -- "medical physics"
"sequestration" -- "carbon capture"
"strategic management" -- "international business"
"action" -- "perception"
"computational statistics" -- "markov chain monte carlo"
"morphogenesis" -- "developmental biology"
"fire" -- "explosion"
"climate" -- "meteorology"
"climate" -- "weather"
"retail operations" -- "supply chain management"
"irrigation" -- "water management"
"irrigation" -- "hydrology"
"pain" -- "nociception"
"pain" -- "headache"
"pain" -- "itch"
"pain" -- "neuroscience"
"pain" -- "anesthesia"
"ergonomics" -- "musculoskeletal disorders"
"ergonomics" -- "biomechanics"
"ergonomics" -- "inclusive design"
"ergonomics" -- "human factors"
"ergonomics" -- "occupational biomechanics"
"ergonomics" -- "safety"
"systematic reviews" -- "knowledge translation"
"carbon" -- "forest"
"physiological ecology" -- "behavioral ecology"
"physiological ecology" -- "energetics"
"power" -- "energy systems"
"careers" -- "work"
"biodegradation" -- "environmental microbiology"
"learning from demonstration" -- "robotics"
"trapped ions" -- "atomic physics"
"evolutionary ecology" -- "ecological genomics"
"restoration ecology" -- "wetland ecology"
"restoration ecology" -- "plant ecology"
"carbon cycle" -- "nitrogen cycling"
"carbon cycle" -- "greenhouse gases"
"nitrogen cycling" -- "microbial ecology"
"illness" -- "health"
"addiction" -- "behavioral neuroscience"
"addiction" -- "gambling"
"polymer blends" -- "polymer nanocomposites"
"nanowires" -- "iii-v semiconductors"
"nanolasers" -- "plasmonics"
"quantum optics" -- "quantum communication"
"quantum optics" -- "entanglement"
"quantum optics" -- "quantum plasmonics"
"quantum optics" -- "atomic physics"
"quantum optics" -- "quantum mechanics"
"quantum optics" -- "quantum information science"
"quantum optics" -- "cavity qed"
"quantum optics" -- "cavity optomechanics"
"quantum optics" -- "many-body physics"
"quantum optics" -- "nonlinear optics"
"quantum optics" -- "quantum information"
"quantum optics" -- "quantum physics"
"authoritarianism" -- "democratization"
"gene" -- "drug delivery"
"environmental politics" -- "global governance"
"environmental politics" -- "policy"
"pharmacogenetics" -- "drug metabolism"
"pricing" -- "revenue management"
"automata theory" -- "logic"
"automata theory" -- "formal languages"
"perovskite solar cells" -- "organic solar cells"
"comparative law" -- "constitutional law"
"leadership" -- "organizational culture"
"leadership" -- "teams"
"leadership" -- "organizational behavior"
"leadership" -- "work motivation"
"leadership" -- "change management"
"autonomous vehicles" -- "cooperative control"
"autonomous vehicles" -- "vehicle dynamics"
"sociology of religion" -- "religion"
"american politics" -- "congress"
"american politics" -- "representation"
"american politics" -- "political methodology"
"american politics" -- "political behavior"
"american politics" -- "american political development"
"american politics" -- "judicial politics"
"materials characterization" -- "thin films"
"general" -- "surgery"
"infertility" -- "reproductive endocrinology"
"qm" -- "mm"
"biomechanics" -- "multibody dynamics"
"biomechanics" -- "biological materials"
"biomechanics" -- "osteoarthritis"
"biomechanics" -- "low back pain"
"biomechanics" -- "human movement analysis"
"biomechanics" -- "functional morphology"
"biomechanics" -- "knee"
"biomechanics" -- "gait analysis"
"biomechanics" -- "gait"
"galaxies" -- "astrophysics"
"chemistry" -- "materials"
"chemistry" -- "physics"
"música" -- "art"
"chronic kidney disease" -- "acute kidney injury"
"information management" -- "knowledge management"
"social studies education" -- "teacher education"
"transcriptomics" -- "genomics"
"technology" -- "social studies of science"
"3d reconstruction" -- "computer vision"
"population ecology" -- "statistical ecology"
"crystallography" -- "crystal engineering"
"crystallography" -- "diffraction"
"crystallography" -- "mineralogy"
"crystallography" -- "structural chemistry"
"rf" -- "mm-wave"
"rf" -- "antennas"
"rf" -- "power amplifiers"
"rf" -- "analog"
"metastasis" -- "invasion"
"conditioning" -- "strength"
"solitons" -- "nonlinear optics"
"solitons" -- "bose-einstein condensation"
"data warehouse" -- "business intelligence"
"condition monitoring" -- "electrical machines"
"condition monitoring" -- "fault diagnosis"
"biogeography" -- "species distribution modelling"
"biogeography" -- "phylogenetics"
"biogeography" -- "macroecology"
"biogeography" -- "systematics"
"biogeography" -- "mammalogy"
"biogeography" -- "biodiversity"
"biogeography" -- "botany"
"microfinance" -- "development economics"
"well-being" -- "motivation"
"well-being" -- "health"
"well-being" -- "happiness"
"well-being" -- "positive psychology"
"history" -- "theory of architecture"
"history" -- "france"
"sport marketing" -- "sport management"
"flow assurance" -- "multiphase flow"
"flow assurance" -- "gas hydrates"
"intellectual" -- "developmental disabilities"
"intergroup relations" -- "social identity"
"peacekeeping" -- "civil war"
"academic libraries" -- "information literacy"
"trademark" -- "patents"
"sociophonetics" -- "sociolinguistics"
"delay differential equations" -- "mathematical biology"
"statistical mechanics" -- "thermodynamics"
"clinical neuropsychology" -- "cognitive neuroscience"
"dsp" -- "fpga"
"geochemistry" -- "geology"
"geochemistry" -- "volcanology"
"geochemistry" -- "mineralogy"
"geochemistry" -- "diagenesis"
"geochemistry" -- "magnesium isotopes"
"collective behavior" -- "complex systems"
"music information retrieval" -- "audio signal processing"
"music information retrieval" -- "sound"
"big data" -- "analytics"
"sensory processing" -- "autism"
"hybridization" -- "speciation"
"hybridization" -- "polyploidy"
"protein misfolding" -- "amyloid"
"protein misfolding" -- "protein aggregation"
"magnetic materials" -- "spintronics"
"liquid chromatography" -- "mass spectrometry"
"nanoantennas" -- "plasmonics"
"formal verification" -- "model checking"
"environmental geology" -- "hydrogeology"
"raman" -- "sers"
"impact cratering" -- "planetary science"
"taxation" -- "public finance"
"cryptography" -- "cryptanalysis"
"cryptography" -- "computer security"
"cryptography" -- "security"
"cryptography" -- "finite fields"
"cryptography" -- "side-channel analysis"
"cryptography" -- "information security"
"cryptography" -- "bitcoin"
"sph" -- "cfd"
"serotonin" -- "depression"
"storage devices" -- "energy conversion"
"physical activity" -- "built environment"
"physical activity" -- "physical education"
"physical activity" -- "motor development"
"physical activity" -- "sedentary behavior"
"physical activity" -- "intervention"
"second language acquisition" -- "applied linguistics"
"second language acquisition" -- "chinese linguistics"
"second language acquisition" -- "bilingualism"
"network science" -- "computational social science"
"network science" -- "data science"
"network science" -- "complex systems"
"software codesign" -- "hardware"
"molecular modeling" -- "computational chemistry"
"molecular modeling" -- "computer-aided drug design"
"molecular modeling" -- "qsar"
"soil moisture" -- "remote sensing"
"photovoltaics" -- "silicon"
"photovoltaics" -- "upconversion"
"photovoltaics" -- "silicon solar cells"
"photovoltaics" -- "solar energy"
"photovoltaics" -- "solar cells"
"neuroinformatics" -- "computational neuroscience"
"complex networks" -- "complex systems"
"complex networks" -- "epidemics"
"spatial statistics" -- "geostatistics"
"spatial statistics" -- "environmental statistics"
"otolaryngology-head" -- "neck surgery"
"electronic structure" -- "density functional theory"
"quantum biology" -- "photosynthesis"
"quantum biology" -- "open quantum systems"
"technology management" -- "innovation"
"sanitation" -- "water"
"plant-herbivore interactions" -- "chemical ecology"
"object detection" -- "recognition"
"numerical relativity" -- "gravitational waves"
"child" -- "adolescent mental health"
"child" -- "family policy"
"child" -- "adolescent development"
"child" -- "adolescent health"
"signal integrity" -- "electromagnetic compatibility"
"metamaterials" -- "antennas"
"metamaterials" -- "plasmonics"
"metamaterials" -- "terahertz"
"metamaterials" -- "frequency selective surfaces"
"metamaterials" -- "transformation optics"
"zeolites" -- "catalysis"
"characterization" -- "materials synthesis"
"characterization" -- "nanomaterials synthesis"
"language documentation" -- "phonology"
"interaction design" -- "human-computer interaction"
"interaction design" -- "design research"
"head" -- "neck"
"head" -- "neck surgery"
"head" -- "neck cancer"
"head" -- "neuroradiology"
"bibliometrics" -- "science policy"
"bibliometrics" -- "research evaluation"
"bibliometrics" -- "research assessment"
"bibliometrics" -- "webometrics"
"economic history" -- "historical demography"
"economic history" -- "history of economic thought"
"change detection" -- "remote sensing"
"digital soil mapping" -- "soil science"
"driver distraction" -- "human factors"
"diffusion" -- "adoption"
"insect behavior" -- "chemical ecology"
"boards of directors" -- "corporate governance"
"photochemistry" -- "photobiology"
"transnational sociology" -- "globalization"
"work" -- "gender"
"work" -- "occupational"
"work" -- "employment"
"work" -- "organizations"
"work" -- "organizational psychology"
"language policy" -- "multilingualism"
"energy" -- "renewables"
"energy" -- "environment"
"energy" -- "fuels"
"presidency" -- "congress"
"pharmacoeconomics" -- "pharmacoepidemiology"
"victimology" -- "criminology"
"cellular networks" -- "wireless communications"
"comparative political economy" -- "international political economy"
"comparative political economy" -- "welfare state"
"entrepreneurship" -- "social entrepreneurship"
"entrepreneurship" -- "family business"
"entrepreneurship" -- "technology strategy"
"entrepreneurship" -- "corporate entrepreneurship"
"entrepreneurship" -- "innovation"
"active tectonics" -- "structural geology"
"active tectonics" -- "earthquakes"
"timetabling" -- "metaheuristics"
"organic electronics" -- "printed electronics"
"organic electronics" -- "oled"
"clinical immunology" -- "rheumatology"
"social entrepreneurship" -- "social innovation"
"superconductivity" -- "topological insulators"
"superconductivity" -- "ferromagnetism"
"superconductivity" -- "condensed matter physics"
"superconductivity" -- "mesoscopic physics"
"superconductivity" -- "strongly correlated electron systems"
"superconductivity" -- "strongly correlated systems"
"superconductivity" -- "magnetism"
"innovation" -- "knowledge"
"innovation" -- "platforms"
"antibody engineering" -- "protein engineering"
"behaviour change" -- "health psychology"
"network-on-chip" -- "interconnection networks"
"headache" -- "migraine"
"soil science" -- "pedology"
"soil science" -- "biogeochemistry"
"soil science" -- "agronomy"
"soil science" -- "soil physics"
"skin cancer" -- "melanoma"
"skin cancer" -- "dermatology"
"simultaneous localization" -- "mapping"
"social computing" -- "human-computer interaction"
"social computing" -- "crowdsourcing"
"eye movements" -- "reading"
"eye movements" -- "vision"
"mbe" -- "solar cells"
"philosophy of religion" -- "metaphysics"
"millimeter-wave circuits" -- "microwave"
"orthopedics" -- "osteoarthritis"
"fiber" -- "textiles"
"fiber" -- "polymers"
"security" -- "privacy"
"security" -- "usable privacy"
"hydroclimatology" -- "hydrology"
"neoliberalism" -- "globalization"
"thrombosis" -- "platelets"
"thrombosis" -- "haemostasis"
"description logics" -- "knowledge representation"
"bioethics" -- "research ethics"
"bioethics" -- "clinical ethics"
"bioethics" -- "health law"
"labour economics" -- "economics of education"
"labour economics" -- "applied microeconometrics"
"labour economics" -- "family economics"
"gender history" -- "women s"
"ultrafine-grained materials" -- "severe plastic deformation"
"media effects" -- "political communication"
"muscle physiology" -- "functional morphology"
"volcanoes" -- "earthquakes"
"corrections" -- "juvenile justice"
"protein engineering" -- "biocatalysis"
"marriage" -- "family therapy"
"marriage" -- "cohabitation"
"computer graphics" -- "visualization"
"computer graphics" -- "computational photography"
"computer graphics" -- "global illumination"
"computer graphics" -- "real-time rendering"
"computer graphics" -- "physical simulation"
"computer graphics" -- "computer vision"
"computer graphics" -- "virtual reality"
"computer graphics" -- "computer animation"
"mesoscopic physics" -- "quantum transport"
"molecular pathology" -- "pathology"
"targeting" -- "drug delivery"
"rna structure" -- "function"
"ecological economics" -- "sustainable development"
"ethnicity" -- "international migration"
"ethnicity" -- "latina"
"ethnicity" -- "social inequality"
"ethnicity" -- "urban sociology"
"ethnicity" -- "race"
"photosynthesis" -- "light harvesting"
"virtual reality" -- "virtual environments"
"virtual reality" -- "virtual humans"
"public economics" -- "labor economics"
"industrial electronics" -- "power electronics"
"biocatalysis" -- "enzyme engineering"
"neuroscience" -- "neurology"
"neuroscience" -- "synapses"
"neuroscience" -- "psychology"
"neuroscience" -- "pharmacology"
"automatic control" -- "system identification"
"methane" -- "biogeochemistry"
"condensed matter physics" -- "photoemission spectroscopy"
"condensed matter physics" -- "computational physics"
"functional traits" -- "community ecology"
"optometry" -- "vision science"
"planet formation" -- "exoplanets"
"gravitation" -- "gravitational waves"
"seagrass" -- "marine ecology"
"molecular motors" -- "biophysics"
"functional equations" -- "inequality"
"cognitive development" -- "executive function"
"cognitive development" -- "developmental cognitive neuroscience"
"cognitive development" -- "language development"
"reaction engineering" -- "catalysis"
"esl" -- "tesol"
"marine reserves" -- "marine ecology"
"applied probability" -- "stochastic modeling"
"applied probability" -- "stochastic processes"
"condensation" -- "boiling"
"cam" -- "cad"
"decision support systems" -- "business intelligence"
"decision support systems" -- "business analytics"
"biopharmaceutics" -- "pharmacokinetics"
"water resources engineering" -- "hydrology"
"decision making" -- "judgement"
"decision making" -- "expertise"
"ocean optics" -- "remote sensing"
"geostatistics" -- "hydrogeology"
"pharmacokinetics" -- "pbpk"
"pharmacokinetics" -- "drug metabolism"
"pharmacokinetics" -- "clinical pharmacology"
"life course" -- "aging"
"life course" -- "social demography"
"life course" -- "health inequalities"
"speaker recognition" -- "speech recognition"
"working memory" -- "attention"
"distributed" -- "parallel computing"
"molecular biology" -- "cell biology"
"molecular biology" -- "genetics"
"molecular biology" -- "microbiology"
"molecular biology" -- "cellular"
"molecular biology" -- "medical biochemistry"
"molecular biology" -- "cancer biology"
"cryptology" -- "information security"
"medical physics" -- "radiation oncology"
"medical physics" -- "radiation physics"
"medical physics" -- "monte carlo simulation"
"medical physics" -- "monte carlo"
"physical education" -- "sport"
"physical education" -- "sport pedagogy"
"mosquitoes" -- "malaria"
"quantum physics" -- "ultracold gases"
"hifu" -- "ultrasound"
"neuro-ophthalmology" -- "neurology"
"spintronics" -- "magnetism"
"numerical analysis" -- "approximation theory"
"numerical analysis" -- "computational mathematics"
"numerical analysis" -- "applied mathematics"
"numerical analysis" -- "finite element method"
"numerical analysis" -- "spectral methods"
"numerical analysis" -- "matrix computations"
"numerical analysis" -- "partial differential equations"
"history of education" -- "teacher education"
"quantum information theory" -- "quantum cryptography"
"social movements" -- "civil society"
"social movements" -- "environmental sociology"
"social movements" -- "protest"
"social movements" -- "contentious politics"
"kidney cancer" -- "urologic oncology"
"spelling" -- "reading"
"applied ethics" -- "political philosophy"
"cold atoms" -- "bose-einstein condensation"
"face perception" -- "face recognition"
"petroleum engineering" -- "reservoir engineering"
"proof theory" -- "logic"
"speech synthesis" -- "speech recognition"
"msm" -- "hiv"
"statistical modeling" -- "machine learning"
"primatology" -- "behavioral ecology"
"primatology" -- "biological anthropology"
"analogue modeling" -- "tectonics"
"micro" -- "nanofluidics"
"sepsis" -- "critical care"
"geomorphometry" -- "geomorphology"
"transport economics" -- "transport policy"
"reservoir engineering" -- "reservoir simulation"
"two-phase flow" -- "heat transfer"
"european studies" -- "international relations"
"paleoecology" -- "paleoclimatology"
"paleoecology" -- "palynology"
"paleoecology" -- "paleobotany"
"paleoecology" -- "biostratigraphy"
"quality of care" -- "health services research"
"flood modelling" -- "hydrology"
"plasma physics" -- "inertial confinement fusion"
"plasma physics" -- "laser plasma interactions"
"plasma physics" -- "space physics"
"plasma physics" -- "mhd"
"plasma physics" -- "plasma processing"
"plasma physics" -- "plasma chemistry"
"plasma physics" -- "magnetohydrodynamics"
"plasma physics" -- "fusion energy"
"parameterized complexity" -- "computational complexity"
"materials science" -- "engineering"
"materials science" -- "applied physics"
"materials science" -- "physics"
"materials science" -- "electron microscopy"
"materials science" -- "polymer science"
"crime" -- "policing"
"learning" -- "memory"
"learning" -- "games"
"learning" -- "scholarship of teaching"
"risk" -- "uncertainty"
"risk" -- "crisis"
"cosmogenic nuclides" -- "geomorphology"
"evolutionary economics" -- "economics of innovation"
"laser cooling" -- "atomic physics"
"laser cooling" -- "trapping"
"ethnobotany" -- "medicinal plants"
"ethnobotany" -- "botany"
"ethnobotany" -- "ethnoecology"
"acting" -- "theatre"
"ice cores" -- "paleoclimate"
"energy efficiency" -- "energy planning"
"comparative biomechanics" -- "functional morphology"
"homotopy theory" -- "category theory"
"free will" -- "open source software"
"lte" -- "5g"
"lte" -- "ofdm"
"performance management" -- "public administration"
"performance management" -- "performance measurement"
"stable isotope geochemistry" -- "organic geochemistry"
"stable isotope geochemistry" -- "paleoclimatology"
"social epidemiology" -- "health inequalities"
