"geomicrobiology" -- "biogeochemistry"
"power converters" -- "power electronics"
"eeg" -- "fmri"
"eeg" -- "erp"
"eeg" -- "brain computer interface"
"eeg" -- "ecg"
"eeg" -- "bci"
"eeg" -- "meg"
"chemoinformatics" -- "molecular modeling"
"medicine" -- "biology"
"rechargeable batteries" -- "electrochemistry"
"food systems" -- "sustainability"
"neuro-oncology" -- "neurosurgery"
"neuro-oncology" -- "neurological surgery"
"sociology of education" -- "education policy"
"sociology of education" -- "social stratification"
"neuroendocrinology" -- "reproductive endocrinology"
"tax" -- "accounting"
"child nutrition" -- "maternal"
"public choice" -- "political economy"
"lasers" -- "nonlinear optics"
"lasers" -- "accelerators"
"lasers" -- "optics"
"superconductors" -- "topological insulators"
"combustion" -- "thermoacoustics"
"combustion" -- "cfd"
"combustion" -- "internal combustion engines"
"combustion" -- "gas turbines"
"combustion" -- "explosion"
"combustion" -- "gasification"
"combustion" -- "fuels"
"combustion" -- "soot"
"combustion" -- "energetic materials"
"combustion" -- "laser diagnostics"
"combustion" -- "chemical kinetics"
"rnai" -- "microrna"
"ai" -- "nlp"
"altmetrics" -- "scholarly communication"
"altmetrics" -- "open access"
"altmetrics" -- "bibliometrics"
"geometric modeling" -- "computer graphics"
"geometric modeling" -- "cam"
"polyoxometalates" -- "catalysis"
"methylation" -- "epigenetics"
"membrane traffic" -- "cell biology"
"vehicle routing" -- "metaheuristics"
"muscle" -- "exercise"
"nonlinear circuits" -- "systems"
"radiation protection" -- "medical physics"
"spatial modeling" -- "gis"
"global justice" -- "political philosophy"
"mechanism design" -- "algorithmic game theory"
"mechanism design" -- "auction theory"
"economic geography" -- "innovation studies"
"economic geography" -- "urban economics"
"economic geography" -- "regional development"
"economic geography" -- "evolutionary economics"
"economic geography" -- "regional science"
"economic geography" -- "political geography"
"economic geography" -- "evolutionary economic geography"
"ubicomp" -- "hci"
"artificial life" -- "complex systems"
"artificial life" -- "evolutionary robotics"
"artificial life" -- "evolutionary computation"
"plant breeding" -- "genetics"
"plant breeding" -- "plant genetics"
"photogrammetry" -- "remote sensing"
"photogrammetry" -- "geomatics"
"photogrammetry" -- "cultural heritage"
"photogrammetry" -- "3d modeling"
"communication theory" -- "information theory"
"communication theory" -- "wireless communications"
"animal cognition" -- "comparative cognition"
"animal cognition" -- "animal behaviour"
"interventional cardiology" -- "cardiology"
"cosmology" -- "inflation"
"cosmology" -- "particle physics"
"cosmology" -- "astrophysics"
"cosmology" -- "modified gravity"
"cosmology" -- "theoretical particle physics"
"cosmology" -- "dark matter"
"cosmology" -- "extragalactic astronomy"
"cosmology" -- "galaxy formation"
"cosmology" -- "epoch of reionization"
"cosmology" -- "large scale structure"
"active transportation" -- "built environment"
"visual computing" -- "computer graphics"
"optomechanics" -- "quantum optics"
"optomechanics" -- "quantum measurement"
"personnel economics" -- "organizational economics"
"personnel economics" -- "labor economics"
"filosofía" -- "sociología"
"filosofía" -- "ética"
"guidance" -- "navigation"
"guidance" -- "control"
"archaeobotany" -- "environmental archaeology"
"verification" -- "formal methods"
"verification" -- "testing"
"verification" -- "automated reasoning"
"risk perception" -- "risk communication"
"social relationships" -- "aging"
"international macroeconomics" -- "macroeconomics"
"toxicology" -- "clinical chemistry"
"toxicology" -- "pharmacology"
"health disparities" -- "minority health"
"health disparities" -- "health behavior"
"health disparities" -- "social determinants of health"
"health disparities" -- "african american"
"venture capital" -- "corporate finance"
"venture capital" -- "entrepreneurship"
"venture capital" -- "private equity"
"high energy density physics" -- "inertial confinement fusion"
"ética" -- "bioética"
"general practice" -- "primary care"
"porous materials" -- "metal-organic frameworks"
"porous materials" -- "adsorption"
"circadian rhythms" -- "sleep"
"circadian rhythms" -- "chronobiology"
"embedded systems" -- "real-time"
"embedded systems" -- "hardware design"
"embedded systems" -- "hw"
"embedded systems" -- "reconfigurable architectures"
"embedded systems" -- "computer architecture"
"embedded systems" -- "hardware"
"embedded systems" -- "design automation"
"embedded systems" -- "real-time systems"
"economics of aging" -- "health economics"
"exercise" -- "physical activity"
"exercise" -- "sports science"
"exercise" -- "training"
"exercise" -- "fitness"
"chemical" -- "biological engineering"
"chemical" -- "environmental engineering"
"molecular imaging" -- "nuclear medicine"
"molecular imaging" -- "contrast agents"
"molecular imaging" -- "cancer imaging"
"microbial genomics" -- "microbial evolution"
"microbial genomics" -- "metagenomics"
"metal forming" -- "thermomechanical processing"
"dft" -- "catalysis"
"otolaryngology" -- "head"
"neuroeconomics" -- "decision making"
"memristor" -- "rram"
"nonlinear analysis" -- "differential equations"
"nonlinear analysis" -- "partial differential equations"
"mobile communication" -- "wireless"
"cell therapy" -- "gene therapy"
"cell therapy" -- "regenerative medicine"
"treatment" -- "depression"
"dimensionality reduction" -- "machine learning"
"urban informatics" -- "human-computer interaction"
"serious games" -- "gamification"
"condensed matter" -- "superconductivity"
"power systems" -- "distribution networks"
"power systems" -- "power electronics"
"power systems" -- "high voltage"
"power systems" -- "electrical engineering"
"literary theory" -- "modernism"
"literary theory" -- "american literature"
"literary theory" -- "comparative literature"
"information-centric networking" -- "computer networks"
"web 2.0" -- "e-learning"
"financial econometrics" -- "asset pricing"
"financial econometrics" -- "econometric theory"
"financial econometrics" -- "time series"
"radio astronomy" -- "astrophysics"
"mimo" -- "ofdm"
"mimo" -- "wireless communications"
"mimo" -- "cooperative communications"
"cancer prevention" -- "tobacco control"
"biomaterials" -- "biointerfaces"
"biomaterials" -- "drug delivery"
"biomaterials" -- "bone repair"
"biomaterials" -- "scaffold"
"biomaterials" -- "nanomedicine"
"biomaterials" -- "drug delivery systems"
"biomaterials" -- "surface modification"
"biomaterials" -- "stem cells"
"biomaterials" -- "polymers"
"biomaterials" -- "biodegradable polymers"
"biomaterials" -- "gene delivery"
"biomaterials" -- "bioengineering"
"biomaterials" -- "dental materials"
"biomaterials" -- "bioceramics"
"biomaterials" -- "biocompatibility"
"biomaterials" -- "bone tissue engineering"
"biomaterials" -- "extracellular matrix"
"biomaterials" -- "immunoengineering"
"atmospheric science" -- "meteorology"
"physical chemistry" -- "computational chemistry"
"physical chemistry" -- "photochemistry"
"physical chemistry" -- "chemical physics"
"physical chemistry" -- "time-resolved spectroscopy"
"physical chemistry" -- "spectroscopy"
"physical chemistry" -- "molecular spectroscopy"
"bioelectrochemical systems" -- "wastewater treatment"
"agroecology" -- "ecosystem services"
"graphic design" -- "typography"
"surface" -- "interfaces"
"electronics" -- "photonics"
"coding theory" -- "information theory"
"coding theory" -- "network information theory"
"coding theory" -- "information"
"historia del arte" -- "historia"
"alpha-synuclein" -- "parkinson s disease"
"rehabilitation engineering" -- "biomechanics"
"environmental health" -- "occupational"
"environmental health" -- "air pollution"
"environmental health" -- "risk assessment"
"evolution" -- "genetics"
"evolution" -- "protists"
"evolution" -- "phenotypic plasticity"
"evolution" -- "ecology"
"evolution" -- "genomics"
"evolution" -- "behavior"
"evolution" -- "microbes"
"critical care medicine" -- "pulmonary medicine"
"critical care medicine" -- "anesthesiology"
"general surgery" -- "surgical oncology"
"general surgery" -- "pediatric surgery"
"general surgery" -- "vascular surgery"
"adherence" -- "hiv"
"consumer behaviour" -- "social marketing"
"consumer behaviour" -- "marketing"
"pediatrics" -- "neonatology"
"pediatrics" -- "infectious diseases"
"antenna theory" -- "design"
"thermosphere" -- "ionosphere"
"eating behavior" -- "obesity"
"gentrification" -- "housing"
"gentrification" -- "urban studies"
"ionic liquids" -- "green chemistry"
"ionic liquids" -- "electrolytes"
"peer-to-peer" -- "distributed systems"
"comparative politics" -- "legislative studies"
"comparative politics" -- "democratization"
"comparative politics" -- "political parties"
"comparative politics" -- "chinese politics"
"comparative politics" -- "latin american politics"
"comparative politics" -- "european politics"
"comparative politics" -- "political economy of development"
